発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,ジョブカテゴリ,カウント,ハード・メモリ,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1993-09-30,-,11,ADV,リバーヒルソフト,機動警察パトレイバーグリフォン篇💿,調査中,調査中,0,3,,,,,,,,
1993-09-30,-,11,TBL,NECアベニュー,麻雀オンザビーチ💿,調査中,調査中,0,3,,山下賢一,小座間隆,遊人,,,石原幸男,
1993-09-30,-,11,SHT,バンプレスト,幽☆遊☆白書闇勝負!!暗黒武術会💿,調査中,調査中,0,3,,JIPPAHITOKARAGE,まきこうせい|田村毅|さいとうしゅういち|わだやすゆき|塩住誠,守谷淳一|わたなべゆうじ|なかむらとしろう|西山彰則|高尾伸治|雪野和哉|KATTAA,みしまともみ,,,
1993-10-02,-,11,SLG,光栄,三國志III💿,調査中,調査中,0,3,,,,,向谷実,,シブサワ・コウ,
1993-10-22,-,11,SHT,トンキンハウス,シルフィア💿,調査中,調査中,0,3,,永妻淳一,野上真一,子猫ネコ|佐藤典司|高島俊介|寺本耕二|掘田英雄|水元省二|島崎亜矢,竹内啓史|嶋崎聡|田中勝己|長尾英之助|松島剛史,,浦井郁郎,
1993-10-22,-,11,RPG,レイ・フォース,スタートリング・オデッセイ💿,調査中,調査中,0,3,,,,,,,,
1993-10-29,-,11,RPG,ハドソン,マイト・アンド・マジックIII💿,調査中,調査中,0,3,,,,,,,,
1993-10-29,-,11,ACT,コナミ,悪魔城ドラキュラX血の輪廻💿,調査中,調査中,0,3,,萩原徹,,,荘司朗|中村圭三|佐野朋子|斎藤幹雄,,山田善朗,
1993-10-29,-,11,ACT,インテック,GALAXY刑事GAYVAN💿,調査中,調査中,0,3,,,,,,,,
1993-10-29,-,11,ARPG,NECホームエレクトロニクス,マジクール💿,調査中,調査中,0,3,,森山豊治|槇原文彦,,織田武士,牧野信博,森山豊治,庭山博也,
1993-11-19,-,11,SLG,ライトスタッフ,ソードマスター💿,調査中,調査中,0,3,,,,,,,,
1993-11-19,-,11,ARPG,ビクター音楽産業,ルイン神の遺産💿,調査中,調査中,0,3,,,,,,,,
1993-11-26,-,11,QUIZ,ナグザット,クイズDE学園祭💿,調査中,調査中,0,3,,,神無月らい,FIX|もりけん,米田克哉,もりけん,,
1993-11-26,-,11,TBL,ヒューマン,ただいま勇者募集中💿,調査中,調査中,0,3,,,,,,,,
1993-11-26,-,11,ACT,リバーヒルソフト,フェイスボール💿,調査中,調査中,0,3,,,,,,,,
1993-12-03,-,11,SLG,工画堂スタジオ,機装ルーガ💿,調査中,調査中,0,3,,,,,,,,
1993-12-10,-,11,ACT,日本物産,伊賀忍伝凱王💿,調査中,調査中,0,3,,,,,,,,
1993-12-10,-,11,RPG,パック・イン・ビデオ,オーロラクエストおたくの星座INANOTHERWORLD💿,調査中,調査中,0,3,,,,,,,,
1993-12-10,-,11,ADV,徳間書店インターメディア,秘密の花園💿,調査中,調査中,0,3,,,,,,,,
1993-12-11,-,11,SLG,光栄,信長の野望・全国版💿,調査中,調査中,0,3,,,,,菅野よう子,,シブサワ・コウ,
1993-12-17,-,11,TBL,ナグザット,スーパーリアル麻雀PIVカスタム💿,調査中,調査中,0,3,,,,,,,,
1993-12-17,-,11,ACT,コナミ,マーシャルチャンピオン💿,調査中,調査中,0,3,,"HEINE KEN",,"HEINE KEN|赤坂嘉紀|SURUGANOKAMI MADAOW|ひじまみさと",仲野順也|すぎさわけいじ,,"KANON PACHELBEL",
1993-12-17,-,11,ADV,ナグザット,闇の血族〜遥かなる記憶〜💿,調査中,調査中,0,3,,,,,,,,
1993-12-19,-,11,ACT,ライトスタッフ,フラッシュハイダース💿,調査中,調査中,0,3,,,佐野敬之,チキンヘッド|赤石龍彌,澤下禎,山本剛,,
1993-12-22,-,11,ARPG,ハドソン,イースIVTheDawnofYs💿,調査中,調査中,0,3,,,,,,,,
1993-12-23,-,11,SHT,NECアベニュー,スーパーダライアスII💿,調査中,調査中,0,3,,藤原英裕,大槻朗|中村辰男|廿楽昌志|征矢野伸二,藤原英裕|仙波隆綱|菊池正美|仙波隆綱|加藤久和,小倉久佳,,藤原英裕,
1993-12-24,-,11,TBL,日本物産,セクシーアイドル麻雀💿,調査中,調査中,0,3,,,,,,,,
1993-12-24,-,11,ACT,ナグザット,ダウンタウン熱血物語💿,調査中,調査中,0,3,,関本弘之|吉田晄浩|W.S.LITTLE,谷本敦|熊谷慎太郎|ふくはらげんえい|SHIN,白戸政男,澤和雄,,,
1993-12-25,-,11,RPG,アトラス,真・女神転生💿,調査中,調査中,0,3,,岡田耕始,佐藤雅美|岡田耕始|國枝剛|高木秀俊,伊藤龍太郎|藤岡一樹|しまだよしあき|鈴木一也(遊企画)|佐藤佐和子|村上哲也|片岡いずみ|高島志郎|金子一馬,増子司,鈴木一也|伊藤龍太郎,新野洋右,
1994-01-03,-,11,ACT,ハドソン,爆笑吉本新喜劇・今日はこれぐらいにしといたる!💿,調査中,調査中,0,3,,,,,,,,
1994-01-07,-,11,RPG,アイレム,ソル・モナージュ💿,調査中,調査中,0,3,,さとうしゅう,やまもとしゅんいち,さとうしゅう|風上旬,平嶋理経,さとうしゅう,Moto,
1994-01-28,-,11,RPG,NECホームエレクトロニクス,エメラルドドラゴン💿,調査中,調査中,0,3,,,,,,,,
1994-01-28,-,11,ACT,インテック,格闘覇王伝説アルガノス💿,調査中,調査中,0,3,,,,,,,,
1994-02-10,-,11,RPG,レイ・フォース,スターブレイカー💿,調査中,調査中,0,3,,寺岡大介|渡部高志,三枝直樹,坂田文彦|中沢一登,中村暢之,坂田文彦,坂田文彦,
1994-02-18,-,11,ARPG,NECホームエレクトロニクス,風の伝説ザナドゥ💿,調査中,調査中,0,3,,,,,,,,
1994-02-25,-,11,SLG,パック・イン・ビデオ,パラディオン💿,調査中,調査中,0,3,,,,,,,,
1994-02-25,-,11,TBL,ナグザット,麻雀レモンエンジェル💿,調査中,調査中,0,3,,,,"BOKU NO SEIJA|NAI",藤井健一(K.FUJI)|中嶋孝志(T.NAKAJIMA),,,
1994-02-26,-,11,ACT,東宝TTI,ゴジラ爆闘烈伝Godzilla💿,調査中,調査中,0,3,,,,,,,,
1994-03-04,-,11,RPG,ナグザット,WIZARDRYIII・IV💿,調査中,調査中,0,3,,,,,,,,
1994-03-04,-,11,SLG,アートディンク,THEATLASルネッサンスボイジャー💿,調査中,調査中,0,3,,,,,,,,
1994-03-04,-,11,SPT,ハドソン,パワーゴルフ2ゴルファー💿,調査中,調査中,0,3,,,,,,,,
1994-03-25,-,11,ADV,NECアベニュー,CALIII完結編💿,調査中,調査中,0,3,,,,,,,,
1994-03-25,-,11,RPG,リバーヒルソフト,プリンセス・ミネルバ💿,調査中,調査中,0,3,,池本浩司,福田淳|横山欣也,石田走|松本文夫|井上博明,岩谷弘明,舞阪洸,鈴木理香,
1994-03-30,-,11,ACT,マイクロキャビン,フレイCDサーク外伝💿,調査中,調査中,0,3,,中津泰彦,中津泰彦,柳島秀行|中津泰彦|末永仁志|谷口恵津子|ここまひ,新田忠弘,中津泰彦,,
1994-03-30,-,11,RPG,NECアベニュー,モンスターメーカー闇の竜騎士💿,調査中,調査中,0,3,,,,,,,,
1994-04-15,-,11,TBL,ココナッツジャパン,パチ夫くん3パチスロ＆パチンコ💿,調査中,調査中,0,3,,迫井政行(第12話まで),,冨士原良|小松真梨子|橋本浩一(第12話まで)|長友望己(第13話以降),横山克|橋口佳奈,リベル・エンタテインメント,沖田多久磨,
1994-04-22,-,11,ADV,ソニー・ミュージックエンタテインメント,爆伝アンバランスゾーン💿,調査中,調査中,0,3,,,,,,,,
1994-04-22,-,11,PZL,NECアベニュー,ぷよぷよCD💿,調査中,調査中,0,3,,,,,,,,
1994-04-28,-,11,ACT,ナグザット,風霧💿,調査中,調査中,0,3,,,,,,,,
1994-04-28,-,11,SLG,徳間書店インターメディア,初恋物語💿,調査中,調査中,0,3,,,,,,,,
1994-05-20,-,11,ARPG,ハドソンTTI,超英雄伝説ダイナスティックヒーローTheDynasticHero💿,調査中,調査中,0,3,,,,,,,,
1994-05-27,-,11,SLG,コナミ,ときめきメモリアル💿,調査中,調査中,0,3,,永田義明,,立石流牙|小倉雅史,"Metal Yuhki|村井聖夜|莊司朗|Sanoppi|中村地獄車",五十嵐孝司,桐田富和,
1994-06-10,-,11,RPG,日本テレネット,コズミックファンタジー4銀河少年伝説突入編💿,調査中,調査中,0,3,,,,,,,,
1994-06-17,-,11,RPG,パック・イン・ビデオ,KO世紀ビースト三獣士ガイア復活完結編💿,調査中,調査中,0,3,,,,,,,,
1994-06-17,-,11,SPT,インテック,ザ・プロ野球SUPER'94💿,調査中,調査中,0,3,,,,,,,,
1994-06-17,-,11,ACT,NECアベニュー,天地を喰らう💿,調査中,調査中,0,3,,,,,,,,
1994-06-17,-,11,ARPG,NECホームエレクトロニクス,ブランディッシュ💿,調査中,調査中,0,3,,,,,,,,
1994-07-08,-,11,ADV,NECホームエレクトロニクス,3×3EYES三只眼變成💿,調査中,調査中,0,3,,,,,,,,
1994-07-08,-,11,SLG,ヒューマン,バスティール2💿,調査中,調査中,0,3,,,,,,,,
1994-07-15,-,11,SLG,アートディンク,栄冠は君に高校野球全国大会💿,調査中,調査中,0,3,,,,,,,,
1994-07-15,-,11,ACT,NECアベニュー,チキチキボーイズ💿,調査中,調査中,0,3,,船水紀孝|岡本吉起,"BLBON|MEIJIN|SAIKOU YUKI","Bully Duck|新谷さゆり|中山郁夫|たなべまゆみ",高岡宏光,,,
1994-07-22,-,11,ACT,TGL,アドヴァンストV.G.💿,調査中,調査中,0,3,,,,木村貴宏|雨宮まこと,山本はるきち,服部理子,,
1994-07-22,-,11,RPG,NECアベニュー,ドラゴンナイトIII💿,調査中,調査中,0,3,,,,,,,,
1994-07-29,-,11,ADV,バンプレスト,GS美神💿,調査中,調査中,0,3,,,,青山充,佐橋俊彦,椎名高志,,
1994-07-29,30,11,SLG,ハドソン,ネオ・ネクタリス💿,"￥8,610","￥8,500代",0,3,,,,,,,,
1994-08-05,-,11,TBL,ナグザット,スーパーリアル麻雀PII・IIIカスタム💿,調査中,調査中,0,3,,,,,,,,
1994-08-05,-,11,TBL,日本物産,聖戦士伝承・雀卓の騎士💿,調査中,調査中,0,3,,,,,,,,
1994-08-05,-,11,ADV,バンプレスト,美少女戦士セーラームーン💿,調査中,調査中,0,3,,,,,,,,
1994-08-12,-,11,ARPG,NECホームエレクトロニクス,ぽっぷるメイル💿,調査中,調査中,0,3,,木屋善夫,永嶋純,今井浩之|塩田雄一|田中久仁彦,石川三恵子|白川篤史,,加藤正幸,
1994-08-26,-,11,RPG,ビクターエンタテインメント,アルシャーク💿,調査中,調査中,0,3,,,田名網正,飯淳|佐藤淳|青柳久|木村明広,佐藤天平,飯淳,,
1994-09-16,-,11,TBL,日本物産,セクシーアイドル麻雀まーじゃんファッション物語💿,調査中,調査中,0,3,,,,,,,,
1994-09-22,-,11,SLG,NECアベニュー,誕生Debut💿,調査中,調査中,0,3,,,,,なし,,,
1994-09-23,-,11,ADV,ソフィックス,YAWARA!2💿,調査中,調査中,0,3,,,,兼森義則|兼森義則|君塚勝教,森英治,井上敏樹,,
1994-09-30,-,11,ARPG,NECホームエレクトロニクス,サークIII💿,調査中,調査中,0,3,,中津泰彦,中津泰彦|青木正二郎,中津泰彦|陣内靖弘|瀬田哲也|百鬼丸|樋口恵津子,瓜田幸治,中津泰彦|陣内靖弘|瀬田哲也,中津泰彦,
1994-09-30,-,11,TBL,マイクロキャビン,ドラゴンハーフ💿,調査中,調査中,0,3,,,,児山昌弘,,見田竜介,,
1994-09-30,-,11,RPG,NECホームエレクトロニクス,女神天国💿,調査中,調査中,0,3,,,,,,,,
1994-10-21,-,11,RPG,レイ・フォース,スタートリング・オデッセイII魔竜戦争💿,調査中,調査中,0,3,,,,,,,,
1994-10-21,-,11,ARPG,NECアベニュー,バステッド💿,調査中,調査中,0,3,,,,,,,,
1994-10-28,-,11,ADV,ココナッツジャパン,卒業写真/美姫💿,調査中,調査中,0,3,,,,,無し(PC98/X68k/MSX)/あり(PCE),,,
1994-10-28,-,11,ACT,ハドソン,ブラッド・ギア💿,調査中,調査中,0,3,,,,,,,,
1994-11-05,-,11,SLG,ハドソン,ハイパーウォーズ💿,調査中,調査中,0,3,,,,,,,,
1994-11-11,-,11,ACT,バンダイ,ドラゴンボールZ偉大なる孫悟空伝説💿,調査中,調査中,0,3,,小峯徳司,清水邦彦|川合淳一|鈴木永康,鈴木永康|志田直俊,島村孝一,小山高生,浅沼誠,
1994-11-18,-,11,ADV,徳間書店インターメディア,電脳天使デジタルアンジュ💿,調査中,調査中,0,3,,,,,,,,
1994-11-25,-,11,QUIZ,NECアベニュー,クイズアベニューIII💿,調査中,調査中,0,3,,,,,,,,
1994-11-25,-,11,ACT,NECホームエレクトロニクス,ゲッツェンディーナー💿,調査中,調査中,0,3,,富一成,富一成|武田信孝|本田宏治,吉成曜|福岡英典|守岡英行|赤井孝美,大熊謙一,,沢村武伺|武田康広|松原文彦,
1994-11-25,-,11,RPG,日本テレネット,コズミックファンタジー4銀河少年伝説激闘編💿,調査中,調査中,0,3,,,,,,,,
1994-11-25,-,11,他,バンプレスト,美少女戦士セーラームーンcollection💿,調査中,調査中,0,3,,,,,,,,
1994-12-09,-,11,TBL,フジコム,カードエンジェルス💿,調査中,調査中,0,3,,,,,,,,
1994-12-16,-,11,RPG,ハドソン,ロードス島戦記II💿,調査中,調査中,0,3,,,,,,,,
1994-12-22,-,11,RPG,ライトスタッフ,アルナムの牙獣族十二神徒伝説💿,調査中,調査中,0,3,,木村明広,春名弘|桜井健一|手島義晶|中路健一,木村明広|西塚耕一|青柳久|金丸宏之|木村明広,澤下禎|川島伸二|日野由紀子,澤下禎|青柳久|金丸宏之|松本康志|北澤誠|木村明広,,
1994-12-22,-,11,PZL,ハドソン,ボンバーマンぱにっくボンバー💿,調査中,調査中,0,3,,日比進,竹内久徳,竹内久徳|横山祥|横山祥|田口真之|藤波勝,須合真樹|竹間淳,,豊嶋真人,
1994-12-23,-,11,SPT,NECホームエレクトロニクス,Jリーグトリメンダスサッカー'94💿,調査中,調査中,0,3,,,,,,,,
1994-12-23,-,11,SLG,NECアベニュー,卒業II〜NeoGeneration〜💿,調査中,調査中,0,3,,,,,なし,,,
1994-12-29,-,11,RPG,ビクター音楽産業,とらべらーず伝説をぶっとばせ💿,調査中,調査中,0,3,,,,,,,,
1995-01-03,-,11,SLG,NECホームエレクトロニクス,プリンセスメーカー1💿,調査中,調査中,0,3,,,,赤井孝美,FM音源(PC-98|MSX2|X68000)|PSG音源(MSX2)|MIDI音源(PC/AT|X68000),,,
1995-01-20,-,11,SLG,パック・イン・ビデオ,メタルエンジェル2💿,調査中,調査中,0,3,,,,,,,,
1995-01-31,-,11,TBL,日本物産,セクシーアイドル麻雀野球拳の詩💿,調査中,調査中,0,3,,,,,,,,
1995-02-24,-,11,SHT,日本コンピュータシステム,愛・超兄貴💿,調査中,調査中,0,3,,,濱田信次,永井一成,葉山宏治,,土田俊郎,
1995-02-24,-,11,ACT,NECアベニュー,姐(あねさん)💿,調査中,調査中,0,3,,,,延東史朗|永井一成|延東史朗|はやしひろし,葉山宏治,,,
1995-03-03,-,11,TBL,ナグザット,スーパーリアル麻雀P・Vカスタム💿,調査中,調査中,0,3,,,,,,,,
1995-03-17,-,11,SLG,NECホームエレクトロニクス,ソリッドフォース💿,調査中,調査中,0,3,,,,,,,,
1995-03-31,-,11,RPG,NECアベニュー,ドラゴンナイト＆グラフィティ💿,調査中,調査中,0,3,,,,,,,,
1995-04-07,-,11,SPT,ヒューマン,フォーメーションサッカー95dellaセリエA💿,調査中,調査中,0,3,,,,,,,,
1995-04-28,-,11,TBL,日本物産,スロット勝負師💿,調査中,調査中,0,3,,,,,,,,
1995-05-19,-,11,SPT,NECホームエレクトロニクス,レッスルエンジェルス・ダブルインパクト団体経営編＆新人デビュー編💿,調査中,調査中,0,3,,,,,,,,
1995-05-26,-,11,SLG,NECホームエレクトロニクス,機装ルーガII💿,調査中,調査中,0,3,,,,,,,,
1995-05-26,30,11,RPG,ハドソン,空想科学世界ガリバーボーイ💿,"￥8,190","￥8,000代",0,3,,芦田豊雄,,芦田豊雄|神志那弘志|工藤誉寿治|井上邦彦,田中公平,広井王子|芦田豊雄,,
1995-05-26,-,11,ADV,NECアベニュー,天地無用!魎皇鬼💿,調査中,調査中,0,3,,,,梶島正樹|寺岡賢司|小田武士|崎本さゆり|梶島正樹(オリジナル)|堀内博之|梶島正樹(オリジナル)|辻武司|ヤスダスズヒト(協力)|猪股雅美(アニメーション),平野義久,梶島正樹,,
1995-06-16,-,11,RPG,パック・イン・ビデオ,熱血レジェンドベースボーラー💿,調査中,調査中,0,3,,,,,,,常田大希,
1995-06-16,-,11,SLG,NECホームエレクトロニクス,プリンセスメーカー2💿,調査中,調査中,0,3,,,,赤井孝美,梶原正裕,,,
1995-06-23,-,11,ACT,NECアベニュー,レニーブラスター💿,調査中,調査中,0,3,,上野真一,かじやすゆき,末弥純,森田広志,殿勝裕子,小座間隆,
1995-06-30,-,11,ARPG,日本ファルコム,風の伝説ザナドゥII💿,調査中,調査中,0,3,,,,,,,,
1995-06-30,-,11,ADV,ハドソン,銀河お嬢様伝説ユナ2永遠のプリンセス💿,調査中,調査中,0,3,,,,,,,,
1995-07-28,-,11,ACT,NECアベニュー,あすか120%マキシマバーニングフェスト💿,調査中,調査中,0,3,,,,,,,,
1995-07-28,30,11,SHT,NECアベニュー,スペースインベーダージ・オリジナルゲーム💿,調査中,調査中,0,3,,,,,,,,
1995-08-04,-,11,他,ハドソン,百物語〜ほんとにあった怖い話〜💿,調査中,調査中,0,3,,西谷衆一郎,後藤誠,鈴木茂|増田祐司,阪本志崇,,井上佳典,
1995-08-11,-,11,ADV,NECホームエレクトロニクス,プライベート・アイ・ドル💿,調査中,調査中,0,3,,,,,,,,
1995-08-11,-,11,TBL,ナグザット,マージャン・ソードプリンセス・クエスト外伝💿,調査中,調査中,0,3,,,,,,,,
1995-09-22,-,11,ADV,フジコム,真怨霊戦記💿,調査中,調査中,0,3,,,,,,,,
1995-09-29,-,11,ACT,ライトスタッフ,ザ・ティーヴィーショー💿,調査中,調査中,0,3,,,,,,,,
1995-10-13,-,11,RPG,NECホームエレクトロニクス,リンダキューブ💿,調査中,調査中,0,3,,安藤誠,長谷川浩,桝田省治|CANNABIS,樹原涼子|島村考一,桝田省治|稲本義彦|広瀬絵美,松原文彦|高橋孝造,
1995-10-27,-,11,TBL,セタ,将棋データベース棋友💿,調査中,調査中,0,3,,,,,,,,
1995-11-23,-,11,ADV,NECアベニュー,同級生💿,調査中,調査中,0,3,,,,,,,,
1995-12-22,-,11,RPG,ハドソン,聖夜物語💿,調査中,調査中,0,3,,,,,,,,
1996-03-22,-,11,SHT,TGL,スチーム・ハーツ💿,調査中,調査中,0,3,,,,,,,,
1996-03-29,-,11,PZL,NECインターチャネル,ぷよぷよCD通💿,調査中,調査中,0,3,,,,,,,,
1996-05-31,-,11,SLG,徳間書店インターメディア,ヴァージン・ドリーム💿,調査中,調査中,0,3,,,,,,,,
1996-06-28,-,11,SPT,NECホームエレクトロニクス,GO!GO!バーディーチャンス💿,調査中,調査中,0,3,,,,,,,,
1996-07-12,-,0,ADV,NECインターチャネル,DE・JA💿,調査中,調査中,0,3,,,,,,,,
1996-07-26,-,11,PZL,NECホームエレクトロニクス,バザールでござーるのゲームでござーる💿,調査中,調査中,0,3,,,,,,,,
1997-03-28,-,11,SLG,NECホームエレクトロニクス,はたらく☆少女てきぱきワーキン・ラブ💿,調査中,調査中,0,3,,,,,,,,
1999-06-03,-,11,ADV,NECホームエレクトロニクス,デッド・オブ・ザ・ブレイン1＆2💿,調査中,調査中,0,3,,,,荻原しょう子|中野彰子|荻原しょう子,岩崎元是,まいた菜穂,,
