☔降水量の合計(mm),🌡️平均気温(℃),💨平均風速(m/s),🧭最多風向(16方位),🏢都道府県,🏙️市区町村,❄️降雪量合計(cm),⚪未使用,☔降水量の合計(mm):Base,💧平均湿度(％),☁️平均雲量(10分比),♨️平均蒸気圧(hPa),🔄平均現地気圧(hPa),☀️日照時間(時間),🌨️雪日数(日),⚡雷日数(日),🌫️霧日数(日)
1990-05,19.3,2.7,⬆️北北西,福岡県,福岡市,0,0,85.5,67,7.2,14.9,1011.7,194.4,0,1,0
1990-06,24.2,2.8,⬆️北,福岡県,福岡市,0,0,246.0,74,7.3,22.3,1007.4,185.4,0,3,0
1990-07,28.3,2.8,⬆️北北西,福岡県,福岡市,0,0,138.5,74,6.2,28.4,1006.0,246.6,0,3,0
1990-08,29.6,2.9,➡️南東,福岡県,福岡市,0,0,8.0,68,4.4,28.1,1005.4,272.4,0,4,0
1990-09,25.4,3.2,⬆️北,福岡県,福岡市,0,0,129.5,73,6.8,23.5,1010.9,152.0,0,3,0
1990-10,18.7,2.6,⬆️北,福岡県,福岡市,0,0,131.0,73,6.2,15.9,1015.8,153.6,0,1,0
1990-11,15.2,2.7,➡️南東,福岡県,福岡市,0,0,67.0,69,5.8,12.1,1018.7,147.7,0,0,0
1990-12,8.7,3.1,➡️南東,福岡県,福岡市,0,0,54.5,65,6.7,7.4,1020.8,102.7,2,0,1
1991-01,7.0,3.3,⬆️北北西,福岡県,福岡市,0,0,39.5,60,7.8,6.2,1020.5,113.1,7,0,0
1991-02,6.1,3.6,➡️南東,福岡県,福岡市,0,0,131.0,62,7.2,6.1,1018.9,103.5,6,2,0
1991-03,10.4,2.9,⬆️北,福岡県,福岡市,0,0,158.0,75,7.4,9.6,1017.2,129.5,0,2,1
1991-04,14.6,2.8,⬆️北,福岡県,福岡市,0,0,150.0,77,7.3,13.0,1013.8,149.5,0,0,1
1991-05,18.3,2.7,⬆️北,福岡県,福岡市,0,0,180.0,72,7.4,15.2,1011.0,130.9,0,1,0
1991-06,23.5,2.5,⬆️北北西,福岡県,福岡市,0,0,342.0,81,9.2,23.2,1006.1,77.8,0,5,1
1991-07,27.4,3.1,⬇️南南西,福岡県,福岡市,0,0,460.0,77,8.5,27.7,1005.4,132.3,0,9,0
1991-08,26.2,3.5,⬆️北,福岡県,福岡市,0,0,190.0,78,6.7,26.6,1004.0,188.6,0,3,0
1991-09,24.4,3.0,⬆️北,福岡県,福岡市,0,0,280.0,75,6.9,23.0,1009.4,155.2,0,3,0
1991-10,18.3,3.5,⬆️北,福岡県,福岡市,0,0,17.5,68,5.6,14.4,1013.4,165.4,0,0,0
