発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,売り上げ本数TOP50,ハード,対応,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2007-04-05,-,-,-,THQジャパン,バーンヤード主役はオレ、牛,-,11036,0,,-,,,,,ジョン・デブニー,スティーヴ・オーデカーク,,
2007-04-19,35,"￥6,000代",ACT,任天堂,スーパーペーパーマリオ,-,10562,50,,-,川出亮太//,川出亮太,,,三留尚子|関河千佳,,田邊賢輔|北西亮一,
2007-04-19,-,-,-,タイトー,ふるふるぱーく,-,11070,0,,-,,,,,,,,
2007-04-26,-,-,-,任天堂,Wiiでやわらかあたま塾,-,10563,32,,-,,,,,,,,
2007-04-26,-,-,-,バンダイナムコ,ワンピースアンリミテッドアドベンチャー,-,10697,0,,-,,,,,,,,
2007-04-26,-,-,-,ユークス,ザ・ドッグアイランドひとつの花の物語,-,11118,0,,-,,,,,,,,
2007-05-17,-,-,-,マーベラス,名探偵コナン追憶の幻想,-,11011,0,,-,,,,,,,,
2007-05-17,-,-,-,インターチャネル,マーベルアルティメットアライアンス,-,11103,0,,-,,,,,,,,
2007-05-24,-,-,-,セガ,実戦パチスロ・パチンコ必勝法！Sammy'sCollection北斗の拳Wii,-,10641,0,,-,,,,,,,,
2007-05-31,-,-,-,カプコン,バイオハザード4Wiiエディション,-,10865,0,,-,三上真司|松下邦臣(PS2)|中井実(Wii)//,三上真司|松下邦臣(PS2)|中井実(Wii),,,内山修作|千本木操,三上真司,小林裕幸|川田将央(PS2)|中井実(Wii),
2007-06-07,30,"￥7,000代",SLG,マーベラス,牧場物語やすらぎの樹,-,11008,111,,-,,,,,,,,
2007-06-07,-,-,-,THQジャパン,パイレーツ・オブ・カリビアンワールド・エンド,-,11041,0,,-,,,,,ハンス・ジマー,テッド・エリオット|テリー・ロッシオ,,
2007-06-14,-,-,-,マーベラス,ネギま！？ネオ・パクティオーファイト！！,-,10999,0,,-,,,,,,,,
2007-06-21,-,-,-,サクセス,Go！Go！ミノン,-,11063,0,,-,,,,,,,,
2007-06-21,-,-,-,AQインタラクティブ,はじめの一歩レボリューション,-,11082,0,,-,,,,,,,,
2007-06-28,-,-,-,任天堂,ドンキーコングたるジェットレース,-,10564,0,,-,,,,,,,,
2007-07-12,33,"￥7,000代",ACT,スクウェア・エニックス,ドラゴンクエストソード仮面の女王と鏡の塔,-,10672,49,,-,,,,,,,,
2007-07-19,-,-,-,ハドソン,桃太郎電鉄16北海道大移動の巻！,-,10809,0,,-,さくまあきら(ゲーム監督)//土居孝幸,さくまあきら(ゲーム監督),,土居孝幸,関口和之|池毅,,川田忠之|香月薫児,
2007-07-19,34,"￥7,000代",SPT,コナミ,実況パワフルプロ野球Wii,野球,10844,0,,-,,,,,,,,
2007-07-26,-,-,-,任天堂,マリオパーティ8,-,10565,0,,-,西谷衆一郎|渡辺達光(企画)|菊池賢次(シニアディレクター)/佐橋秀樹(プログラムディレクター)/筒井佐緒理(デザインディレクター),西谷衆一郎|渡辺達光(企画)|菊池賢次(シニアディレクター),佐橋秀樹(プログラムディレクター),筒井佐緒理(デザインディレクター),塚原義弘|嶋倉一朗(ミュージックサポート)|坂東章平(サウンドディレクター),,佐藤浩(任天堂)|池田淳(ハドソン),
2007-07-26,-,-,-,セガ,ぷよぷよ！15thanniversary,-,10642,0,,-,"細山田水紀[注 1]//Nino(キャラクターデザイン)","細山田水紀[注 1]",,Nino(キャラクターデザイン),,,西山彰則,
2007-07-26,-,-,-,バンダイナムコ,機動戦士ガンダムMS戦線0079,-,10757,0,,-,//藤沢孝,,,藤沢孝,,,後藤能孝,
2007-07-26,-,-,-,ハドソン,ジグソーパズルきょうのわんこ,-,10794,0,,-,,,,,,,,
2007-07-26,31,"￥6,000代",ACT,コナミ,デューイズアドベンチャー水精デューイの大冒険！！,-,10819,0,,-,,,,,,,,
2007-07-26,-,-,-,アークシステムワークス,ギルティギアイグゼクスアクセントコア,-,11024,0,,-,,,,,,,,
2007-08-02,35,"￥6,000代",ACT,任天堂,フォーエバーブルー,-,10566,0,,-,,,,,,,,
2007-08-02,-,-,-,エレクトロニック・アーツ,ハリー・ポッターと不死鳥の騎士団,-,10935,0,,-,,,,,,,,
2007-08-02,-,-,-,THQジャパン,レミーのおいしいレストラン,-,11037,0,,-,,,,,マイケル・ジアッチーノ,ブラッド・バード,,
2007-08-23,-,-,-,コンパイルハート,しゃるうぃー☆たころん,-,11094,0,,-,,,,,,,,
2007-09-06,-,-,-,スターフィッシュ,新・中華大仙マイケルとメイメイの冒険,-,11105,0,,-,,,,,,,,
2007-09-13,31,"￥6,000代",ACT,エレクトロニック・アーツ,SSXブラー,-,10916,0,,-,,,,,,,,
2007-09-20,-,-,-,任天堂,マリオストライカーズチャージド,-,10567,0,,-,,,,,,,,
2007-09-20,-,-,-,コーエー,戦国無双KATANA,-,10903,0,,-,,,,,,,,
2007-09-27,-,-,-,バンダイナムコ,結界師黒芒楼の影,-,10760,0,,-,,,,,,,,
2007-09-27,30,"￥6,000代",SLG,エレクトロニック・アーツ,ぼくとシムのまち,-,10940,0,,-,,,,,,,,
