発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,売り上げ本数TOP50,ハード,対応,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2008-07-24,-,-,-,アクティビジョン,スピード・レーサー,-,11021,0,,-,,,,,マイケル・ジアッキーノ,ラナ・ウォシャウスキー|リリー・ウォシャウスキー,,
2008-07-24,-,-,-,SNK,サムライスピリッツ六番勝負,-,11090,0,,-,,,,,,,,
2008-07-31,34,-,ADV,任天堂,零月蝕の仮面,-,10578,0,,-,,,,,,,,
2008-07-31,-,-,-,IEインスティテュート,250万人の漢検Wiiでとことん漢字脳(財団法人日本漢字能力検定協会公式ソフト),-,11062,0,,-,,,,,,,,
2008-07-31,-,-,-,スティング,ドカポンキングダムforWii,-,11097,0,,-,,,,,,,,
2008-08-07,-,-,-,セガ,忌火起草解明編,-,10653,0,,-,,,,,,,,
2008-08-07,-,-,-,コナミ,サバイバルキッズWii,-,10824,0,,-,,,,,,,,
2008-08-28,-,-,-,任天堂,キャプテン★レインボー,-,10579,0,,-,,,,,,,,
2008-08-28,-,-,-,D3パブリッシャー,THEパーティーゲーム(SIMPLE2000シリーズWiiVol.2),-,10991,0,,-,,,,,,,,
2008-09-04,-,-,-,インターチャネル,レインボーポップ,-,11104,0,,-,,,,,,,,
2008-09-11,31,-,ACT,バンダイナムコ,ワンピースアンリミテッドクルーズエピソード1波に揺れる秘宝,-,10698,0,,-,,,,,,,,
2008-09-18,-,-,-,ハドソン,コロリンパ(ハドソン・ザ・ベスト),-,10792,0,,-,,,,,,,,
2008-09-18,-,-,-,カプコン,バイオハザードアンブレラ・クロニクルズ(ベストプライス！),-,10856,0,,-,,,,,,,,
2008-09-18,-,-,-,コーエー,ジーワンジョッキーWii2008,-,10891,0,,-,,,,,,,,
2008-09-25,31,-,ACT,任天堂,ディザスターデイ・オブ・クライシス,-,10580,0,,-,小野圭一|田島梓|横田弦紀//小島幸,小野圭一|田島梓|横田弦紀,,小島幸,池頼広,小野圭一,山上仁志|野村匡,
2008-09-25,-,-,-,スクウェア・エニックス,ソウルイーターモノトーンプリンセス,-,10675,0,,-,//伊藤嘉之,,,伊藤嘉之,岩崎琢,大和屋暁|清水恵|津村米紀,,
2008-09-25,-,-,-,ハドソン,ボンバーマン,-,10799,0,,-,,,,,,,,
2008-09-25,-,-,-,エレクトロニック・アーツ,シムシティクリエイター,-,10919,0,,-,//ウィル・ライト,,,ウィル・ライト,ジェリー・マーティン,,山田恵祐,
2008-09-25,-,-,-,D3パブリッシャー,THEテーブルゲーム麻雀・囲碁・将棋・カード・花札・リバーシ・五目ならべ(SIMPLE2000シリーズWiiVol.1),-,10990,0,,-,,,,,,,,
2008-10-02,31,-,SPT,コナミ,実況パワフルメジャーリーグ3,野球,10848,0,,-,,,,,,,,
2008-10-09,-,-,-,アクティビジョン,スター・ウォーズフォース・アンリーシュド,-,11019,0,,-,,,,,,,,
2008-10-16,-,-,-,任天堂,Wiiミュージック,-,10581,42,,-,,,,,,,,
2008-10-16,32,-,SHT,バンダイナムコ,スカイ・クロライノセン・テイセス,-,10719,0,,-,,,,,川井憲次,森博嗣,,
2008-10-16,-,-,-,バンダイナムコ,大怪獣バトルウルトラコロシアム,-,10762,0,,-,,,,,,,,
2008-10-16,-,-,-,アクティビジョン,ギターヒーローエアロスミス,-,11015,0,,-,,,,,,,,
2008-10-16,-,-,-,アクティビジョン,ギターヒーローエアロスミスギターコントローラ同梱セット,-,11016,0,,-,,,,,,,,
2008-10-23,31,-,ACT,バンダイナムコ,ハッピーダンスコレクション,-,10735,0,,-,,,,,,,,
2008-10-23,-,-,-,バンダイナムコ,プロゴルファー猿,-,10749,0,,-,,,,,,,,
2008-10-23,-,-,-,エレクトロニック・アーツ,銀星テーブルゲームズWii,-,10950,0,,-,,,,,,,,
2008-10-23,-,-,-,フロム・ソフトウェア,天誅4,-,11116,0,,-,遠藤琢磨/久松大輔|土田智裕|小幡展弘|岩間崇/沙村広明,遠藤琢磨,久松大輔|土田智裕|小幡展弘|岩間崇,沙村広明,朝倉紀行(メガアルファ),渡辺一弘(ソニー・ミュージックエンタテインメント),山本正美(ソニー・ミュージックエンタテインメント),
2008-10-30,-,-,-,エレクトロニック・アーツ,ぼくとシムのまちキングダム,-,10942,0,,-,,,,,,,,
2008-10-30,-,-,-,マーベラス,牧場物語わくわくアニマルマーチ,-,11010,119,,-,,,,,,,,
2008-10-30,-,-,-,マイルストーン,HulaWiiフラで始める美と健康！,-,11044,0,,-,,,,,,,,
2008-10-30,-,-,-,ロケットカンパニー,シェイプボクシング(Wiiでエンジョイダイエット！),-,11077,0,,-,,,,,,,,
2008-11-13,34,-,SPT,バンダイナムコ,ファミリースキーワールドスキー&スノーボード,-,10739,0,,-,,,,,,,,
2008-11-13,-,-,-,コーエー,三國志11withパワーアップキット(コーエー・ザ・ベスト),-,10894,0,,-,,,,,,,,
2008-11-13,30,-,SPT,エレクトロニック・アーツ,FIFA09オールプレイ(EASPORTS),-,10914,0,,-,,,,,,,,
2008-11-13,-,-,-,タカラトミー,人生ゲームWiiEX,-,10962,0,,-,,,,,,,,
2008-11-13,34,-,ACT,THQジャパン,ブロブカラフルなきぼう,-,11031,0,,-,,,,,,,,
2008-11-13,-,-,-,マイルストーン,イルベロWii,-,11046,0,,-,,,,,,,,
2008-11-13,-,-,-,IEインスティテュート,NEW右脳キッズWii,-,11059,137,,-,,,,,,,,
2008-11-20,-,-,-,任天堂,街へいこうよどうぶつの森(ニンテンドーDS対応),-,10582,139,,-,,,,,,,,
2008-11-20,-,-,-,任天堂,街へいこうよどうぶつの森Wiiスピーク同梱版(ニンテンドーDS対応),-,10583,0,,-,,,,,,,,
2008-11-20,-,-,-,カプコン,戦国BASARA2英雄外伝ダブルパック(ベストプライス！),-,10875,0,,-,,,,,,,,
2008-11-20,-,-,-,マーベラス,家庭教師ヒットマンリボーン！禁断の闇のデルタ,-,11007,0,,-,,,,,,,,
2008-11-20,-,-,-,コンパイルハート,スゴロクロニクル右手に剣を左手にサイコロを,-,11095,0,,-,,,,,,,,
2008-11-20,-,-,-,コンパイルハート,スゴロクロニクル右手に剣を左手にサイコロをバラエティパック,-,11096,0,,-,,,,,,,,
2008-11-27,-,-,-,バンダイナムコ,ことばのパズルもじぴったんWiiデラックス,-,10718,0,,-,,,,,,,,
2008-11-27,31,-,ACT,ハドソン,はたらくヒト,-,10797,0,,-,戸田伸一|佐々木由佳/田沼晴彦(プログラムディレクター)/増田辰男(プランニングディレクター)|伊藤宏美(アートディレクター)|船木真子(アートワーク)|柴田晃宏(アートワーク),戸田伸一|佐々木由佳,田沼晴彦(プログラムディレクター),増田辰男(プランニングディレクター)|伊藤宏美(アートディレクター)|船木真子(アートワーク)|柴田晃宏(アートワーク),塚原義弘(作曲)|相原真人(サウンドディレクター),,中田伸一|香月薫児(シニアプロデューサー),
2008-11-27,-,-,-,タカラトミー,ナルト疾風伝激闘忍者大戦！EX3,-,10953,0,,-,,,,,,,,
2008-11-27,-,-,-,マーベラス,ルーンファクトリーフロンティア,-,11003,0,,-,,,,,,,,
2008-12-04,40,-,-,セガ,428封鎖された渋谷で,-,10654,0,,-,イシイジロウ/金田元貴/古田剛志|中村基,イシイジロウ,金田元貴,古田剛志|中村基,佐藤直紀|坂本英城|保本真吾,北島行徳,中村光一,
2008-12-04,-,-,-,バンダイナムコ,風のクロノアdoortophantomile,-,10763,0,,-,,,,,,,,
2008-12-04,-,-,-,タカラトミー,ヤッターマンWiiビックリドッキリマシンで猛レースだコロン,-,10959,0,,-,,,,,,,,
2008-12-04,-,-,-,タイトー,クッキングママ2たいへん！！ママはおおいそがし！,-,11069,0,,-,,,,,,,,
2008-12-11,-,-,-,任天堂,ドンキーコングジャングルビート(Wiiであそぶセレクション),-,10584,0,,-,,,,,,,,
2008-12-11,-,-,-,セガ,サンバDEアミーゴ,-,10655,0,,-,,,,,,,,
2008-12-11,-,-,-,バンダイナムコ,太鼓の達人Wii専用コントローラ「太鼓とバチ」同梱版,-,10767,66,,-,,,,,,,,
2008-12-11,32,-,ACT,カプコン,タツノコVSカプコンクロス・ジェネレーション・オブ・ヒーローズ,-,10851,0,,-,,,,,,,宮崎鉄平|金佐智絵|鈴木浩史|工藤江美子|桐谷太一|三浦淳(CP),
2008-12-11,-,-,-,エレクトロニック・アーツ,フェイスブレイカーK.O.パーティー,-,10936,0,,-,,,,,,,ビル・シュネー小田和正,
2008-12-11,-,-,-,タカラトミー,メジャーWiiパーフェクトクローザー,-,10957,0,,-,,,,,,,,
2008-12-11,-,-,-,THQジャパン,ウォーリー,-,11030,0,,-,,,,,,,,
2008-12-11,-,-,-,タイトー,クッキングママみんなといっしょにお料理大会！(ドリームエイジ・コレクション・ベスト),-,11068,0,,-,,,,,,,,
2008-12-11,-,-,-,テクモ,アルゴスの戦士マッスルインパクト,-,11073,0,,-,,,,,,,,
2008-12-18,-,-,-,セガ,ソニックワールドアドベンチャー,-,10656,0,,-,橋本善久/鈴木誠|齋藤高明/橋本善久|川村幸子|棚橋伸吉(「ソニック・ザ・ウェアホッグ」のキャラクターデザイン担当),橋本善久,鈴木誠|齋藤高明,橋本善久|川村幸子|棚橋伸吉(「ソニック・ザ・ウェアホッグ」のキャラクターデザイン担当),大谷智哉|床井健一|熊谷文恵|南波真理子|江口貴勅|小林秀聡,吉村清子,西山彰則,
2008-12-18,31,-,ACT,セガ,レッツタップ(タップボックス2個同梱),-,10657,0,,-,,,,,,,,
2008-12-18,30,-,ACT,セガ,ブリーチバーサス・クルセイド,-,10658,0,,-,,,,,,,,
2008-12-18,-,-,-,ハドソン,カラオケJOYSOUNDWii,-,10783,25,,-,,,,,,,,
2008-12-18,-,-,-,ハドソン,カラオケJOYSOUNDWii(専用USBマイク同梱版),-,10784,0,,-,,,,,,,,
2008-12-18,-,-,-,コナミ,ダンスダンスレボリューションフルフル♪パーティー,-,10815,0,,-,,,,,,,,
2008-12-18,-,-,-,コナミ,ダンスダンスレボリューションフルフル♪パーティー(専用マットコントローラ同梱版),-,10816,0,,-,,,,,,,,
2008-12-18,-,-,-,コナミ,エレビッツ(コナミ・ザ・ベスト),-,10821,0,,-,,,,,,,,
2008-12-18,-,-,-,エレクトロニック・アーツ,ニード・フォー・スピードアンダーカバー,-,10927,0,,-,,,,,,,,
2008-12-18,-,-,-,THQジャパン,ディズニー・シンク早押しクイズ,-,11038,0,,-,,,,,,,,
2008-12-18,-,-,-,テクモ,スイングゴルフパンヤ2ndショット！(テクモ・ザ・ベスト),-,11076,0,,-,,,,,,,,
2008-12-25,-,-,-,任天堂,ピクミン(Wiiであそぶセレクション),-,10585,0,,-,"Brian Allanson|Andrew Allanson/Brian Allanson/Brian Allanson|Brigid Allanson","Brian Allanson|Andrew Allanson","Brian Allanson","Brian Allanson|Brigid Allanson","Andrew Allanson|Calum Bowen|Jose Alfaro|菊田裕樹|Michael Kelly(Garoad)|トビー・フォックス|Steve Lakawicz|Edgar Girtain|Chipocrite(Paul Weinstein)|Tony Manfredonia|丸山ミカ(Mika Maruyama)","Andrew Allanson|Joe McCallister","Brian Kwek",
2008-12-25,-,-,-,カプコン,バイオハザード,-,10853,0,,-,,,,,,,,
2009-01-15,-,-,-,任天堂,マリオテニスGC(Wiiであそぶセレクション),-,10586,25,,-,,,,,,,,
2009-01-15,-,-,-,コナミ,悪魔城ドラキュラジャッジメント,-,10838,0,,-,,,,,,,,
2009-01-22,31,-,RPG,バンダイナムコ,フラジールさよなら月の廃墟,-,10704,0,,-,,,,,,,,
2009-01-22,-,-,-,ユービーアイソフト,ラビッツ・パーティーTVパーティー,-,10977,0,,-,,,,,,,,
2009-01-22,-,-,-,角川書店,涼宮ハルヒの激動,-,11120,0,,-,,,,,,,,
2009-01-22,-,-,-,角川書店,涼宮ハルヒの激動超DXパック,-,11121,0,,-,,,,,,,,
2009-01-29,-,-,-,スクウェア・エニックス,ファイナルファンタジー・クリスタルクロニクルエコーズ・オブ・タイム,-,10676,0,,-,,,,,,,,
2009-02-05,-,-,-,任天堂,アナザーコード:R記憶の扉,-,10587,0,,-,,,,,,,,
2009-02-12,-,-,-,エレクトロニック・アーツ,スケートイット,-,10920,0,,-,,,,,,,,
2009-02-19,-,-,-,任天堂,メトロイドプライム(Wiiであそぶセレクション),-,10588,0,,-,,,,,,,,
2009-02-19,-,-,-,カプコン,デッドライジングゾンビのいけにえ,-,10852,0,,-,,,,,,,,
2009-02-19,-,-,-,エレクトロニック・アーツ,シムアニマル,-,10917,0,,-,,,,,,,,
2009-02-26,-,-,-,バンダイナムコ,ワンピースアンリミテッドクルーズエピソード2目覚める勇者,-,10700,0,,-,,,,,,,,
2009-02-26,-,-,-,エレクトロニック・アーツ,メダル・オブ・オナーヒーローズ2(EABESTHITS),-,10947,0,,-,,,,,,,,
2009-02-26,-,-,-,THQジャパン,ハイスクール・ミュージカルダンス！,-,11040,0,,-,,,,,,,,
2009-03-05,-,-,-,MTO,リラックマみんなでごゆるり生活,-,11100,0,,-,,,,,,,,
2009-03-12,-,-,-,任天堂,ピクミン2(Wiiであそぶセレクション),-,10589,0,,-,,,,,,,,
2009-03-12,-,-,-,セガ,ソニックと暗黒の騎士,-,10659,0,,-,片野徹/西村牧子/岸本守央|三浦義貴,片野徹,西村牧子,岸本守央|三浦義貴,"瀬上純|Richard Jacques|Tommy Tallarico|Howard Drossin|蓑部雄崇|Lennie Moore|谷本光",前川司郎,片野徹,
2009-03-12,-,-,-,バンダイナムコ,ウィーチア,-,10712,0,,-,,,,,,,,
2009-03-12,-,-,-,エレクトロニック・アーツ,ニード・フォー・スピードプロストリート(EABESTHITS),-,10933,0,,-,,,,,,,,
2009-03-12,-,-,-,エレクトロニック・アーツ,ぼくとシムのまちパーティー,-,10943,0,,-,,,,,,,,
2009-03-12,-,-,-,日本一ソフトウェア,ファントム・ブレイブWii,-,11123,0,,-,//原田たけひと,,,原田たけひと,佐藤天平,,,
2009-03-19,34,-,SPT,コナミ,実況パワフルプロ野球NEXT,野球,10843,0,,-,,,,,,,,
2009-03-19,30,-,SPT,エレクトロニック・アーツ,タイガー・ウッズPGATOUR09ALL-PLAY,-,10922,0,,-,,,,,,,,
2009-03-19,-,-,-,エレクトロニック・アーツ,モノポリー,-,10948,0,,-,//チャールズ・B・ダロウ (en) ,,,チャールズ・B・ダロウ (en) ,,,,
2009-03-19,-,-,-,アークシステムワークス,ウィンタースポーツ2009ザ・ネクストチャレンジ,-,11025,0,,-,,,,,,,,
2009-03-19,-,-,-,アルファ・ユニット,ダーツWiiデラックス,-,11102,0,,-,,,,,,,,
2009-03-26,-,-,-,セガ,涼宮ハルヒの並列,-,10660,0,,-,,,,,,,,
2009-03-26,-,-,-,セガ,涼宮ハルヒの並列超SOS団ヒロインコレクション,-,10661,0,,-,,,,,,,,
2009-03-26,-,-,-,スクウェア・エニックス,007慰めの報酬,-,10677,0,,-,,,,,デヴィッド・アーノルド,イアン・フレミング,,
2009-03-26,-,-,-,コナミ,遊戯王ファイブディーズウィーリーブレイカーズ,-,10840,0,,-,,,,,,,,
2009-04-02,30,-,SLG,コーエー,ウイニングポストワールド,-,10888,0,,-,,,,,,,,
2009-04-02,-,-,-,テラボックス,ドアラでWii,-,11126,0,,-,,,,,,,,
2009-04-09,34,-,ACT,マーベラス,朧村正,-,11012,0,,-,,,,,,,,
2009-04-16,-,-,SPT,ハドソン,デカスポルタ2Wiiでスポーツ10種目！,-,10777,0,,-,,,,,,,,
2009-04-16,-,-,-,スパイク,ロックスターゲームプレゼンツテーブルテニス,-,11053,0,,-,,,,,,,,
2009-04-23,-,-,-,スクウェア・エニックス,メジャマジ・マーチ,-,10678,0,,-,,,,,,,,
2009-04-23,-,-,-,カプコン,モンスターハンターG,-,10872,24,,-,船水紀孝|藤岡要//,船水紀孝|藤岡要,,,,,田中剛|伊津野賢二|須藤克洋,
2009-04-23,-,-,-,カプコン,モンスターハンターGスターターパック,-,10873,0,,-,,,,,,,,
2009-04-23,-,-,-,スパイク,トゥームレイダーアンダーワールド,-,11055,0,,-,,,,,,,,
2009-04-29,-,-,-,コナミ,麻雀格闘倶楽部WiiWi-Fi対応,-,10839,0,,-,,,,,,,,
2009-04-29,35,-,SPT,コナミ,実況パワフルメジャーリーグ2009,野球,10847,0,,-,,,,,,,,
2009-04-29,-,-,-,IEインスティテュート,シカクいアタマをマルくする。Wii,-,11058,0,,-,,,,,,,,
2009-04-30,-,-,-,マーベラス,フィッシュアイズWii,-,11000,0,,-,,,,,,,,
2009-05-14,36,-,SPT,コナミ,ウイニングイレブンプレーメーカー2009,-,10828,0,,-,,,,,,,,
2009-05-21,31,-,SLG,任天堂,タクトオブマジック,-,10592,0,,-,,,,,,,,
2009-05-28,-,-,-,ジャレコ,黄金の絆,-,11092,0,,-,川口洋一//酒井諭,川口洋一,,酒井諭,,生田美和,星直樹,
2009-06-04,32,-,RPG,マーベラス,アークライズファンタジア,-,10995,0,,-,,,,,,,,
2009-06-11,-,-,-,任天堂,ちびロボ！(Wiiであそぶセレクション),-,10590,0,,-,,,,,,,,
2009-06-11,-,-,-,任天堂,メトロイドプライム2ダークエコーズ(Wiiであそぶセレクション),-,10591,0,,-,,,,,,,,
2009-06-25,-,-,-,任天堂,Wiiスポーツリゾート,-,10593,327,,-,,,,,,,,
2009-06-25,-,-,-,任天堂,Wiiスポーツリゾート(Wiiモーションプラス同梱版),-,10594,0,,-,,,,,,,,
2009-06-25,-,-,-,エレクトロニック・アーツ,ぼくとシムのまちレーシング,-,10944,0,,-,,,,,,,,
2009-07-02,-,-,-,エレクトロニック・アーツ,グランドスラムテニス(EASPORTS),-,10912,0,,-,,,,,,,,
2009-07-16,-,-,-,アルファ・ユニット,バッティングレボリューション(日本野球機構承認),-,11101,0,,-,,,,,,,,
2009-07-23,-,-,-,任天堂,パンチアウト！！,-,10595,0,,-,//宮本茂,,,宮本茂,,,竹田玄洋,
2009-07-23,-,-,-,バンダイナムコ,ドラゴンボール天下一大冒険,-,10730,0,,-,,,,,,,,
2009-07-30,-,-,-,コナミ,テレしばいWii(専用USBマイク同梱版),-,10834,0,,-,,,,,,,,
2009-07-30,-,-,-,AQインタラクティブ,恐怖体感呪怨,-,11083,0,,-,,,,,ゲイリー芦屋,清水崇,,
2009-08-01,40,-,ACT,カプコン,モンスターハンター3<トライ>,-,10868,108,,-,,,,,,小山内美江子・清水有生ほか,竹之下寛次,
2009-08-01,-,-,-,カプコン,モンスターハンター3<トライ>クラシックコントローラPRO<シロ>パック,-,10869,0,,-,,,,,,,,
2009-08-01,-,-,-,カプコン,モンスターハンター3<トライ>クラシックコントローラPRO<クロ>パック,-,10870,0,,-,,,,,,,,
2009-08-01,-,-,-,カプコン,モンスターハンター3<トライ>スペシャルパック,-,10871,0,,-,,,,,,,,
2009-08-06,33,-,SLG,バンダイナムコ,SDガンダムGジェネレーションウォーズ,-,10707,0,,-,,,,,,,,
2009-08-06,-,-,-,ハドソン,コロリンパ2アンソニーと金色ひまわりのタネ,-,10793,0,,-,,,,,,,,
2009-08-06,-,-,-,コナミ,ポップンミュージック,-,10837,0,,-,,,,,,,,
2009-08-06,-,-,-,エレクトロニック・アーツ,パーソナルトレーナーWii30日生活改善プログラムレジスタンスバンド・レッグストラップ同梱(EASPORTSアクティブ),-,10909,0,,-,,,,,,,,
2009-08-13,-,-,-,スクウェア・エニックス,鋼の錬金術師暁の王子,-,10679,0,,-,,,,,,,,
2009-08-27,-,-,-,イグニッション・エンターテイメント,たまらん,-,11125,0,,-,,,,,,,,
2009-09-03,31,-,ACT,バンダイナムコ,たべモン,-,10723,0,,-,,,,,,,,
2009-09-03,-,-,-,D3パブリッシャー,トップスピン3,-,10981,0,,-,,,,,,,,
2009-09-03,35,-,RPG,マーベラス,王様物語,-,11005,0,,-,,,,,,,,
2009-09-17,36,-,ADV,任天堂,フォーエバーブルー海の呼び声,-,10596,0,,-,,,,,,,,
2009-09-17,-,-,-,セガ,ザ・ハウス・オブ・ザ・デッドオーバーキル,-,10662,0,,-,,,,,,,,
2009-09-17,-,-,-,セガ,ザ・ハウス・オブ・ザ・デッドオーバーキル(Wiiザッパー同梱版),-,10663,0,,-,,,,,,,,
2009-09-24,-,-,-,ハドソン,ボンバーマン(ハドソン・ザ・ベスト),-,10800,0,,-,,,,,,,,
2009-10-01,-,-,-,任天堂,Wiiフィットプラス,-,10597,249,,-,,,,,,,,
2009-10-01,-,-,-,任天堂,Wiiフィットプラス(バランスWiiボード<シロ>セット),-,10598,0,,-,,,,,,,,
2009-10-01,-,-,-,エレクトロニック・アーツ,デッドスペースエクストラクション,-,10925,0,,-,,,,,,,,
2009-10-01,-,-,-,エレクトロニック・アーツ,ぼくとシムのまちエージェント極悪社長から世界をすくえ大作戦！,-,10941,0,,-,,,,,,,,
2009-10-08,-,-,-,マーベラス,ヴァルハラナイツエルダールサーガ,-,10998,0,,-,,,,,,,,
2009-10-15,-,-,-,カプコン,大神,-,10885,0,,-,,,,,,,,
2009-10-22,-,-,-,エレクトロニック・アーツ,FIFA10ワールドクラスサッカー,-,10915,0,,-,,,,,,,,
2009-10-22,-,-,-,マイルストーン,HulaWii楽しくフラを踊ろう！！,-,11045,0,,-,,,,,,,,
2009-10-22,-,-,-,ジョルダン,女番社長レナWii,-,11112,0,,-,,,,,,,,
2009-10-29,31,-,ACT,任天堂,罪と罰宇宙の後継者,-,10600,0,,-,,,,,,,,
2009-10-29,-,-,-,セガ,珍スポーツ,-,10664,0,,-,//樋上いたる|門之園恵美|池田和美,,,樋上いたる|門之園恵美|池田和美,折戸伸治|戸越まごめ|麻枝准,志茂文彦,馬場隆博,
2009-10-29,-,-,-,バンダイナムコ,スーパーロボット大戦NEO,-,10720,0,,-,,,,,,,,
2009-11-05,31,-,SPT,任天堂,マリオ&ソニックATバンクーバーオリンピック,-,10601,0,,-,,,,,,,,
2009-11-05,-,-,-,バンダイナムコ,ドラゴンボールZスパーキング！ネオウェルカムプライス,-,10702,0,,-,,,,,,,,
2009-11-05,-,-,-,バンダイナムコ,ワンピースアンリミテッドアドベンチャーウェルカムプライス,-,10703,0,,-,,,,,,,,
2009-11-05,-,-,-,ハドソン,めざせ！！釣りマスター(ハドソン・ザ・ベスト),-,10804,0,,-,,,,,,,,
2009-11-05,-,-,-,ハドソン,めざせ！！釣りマスター世界にチャレンジ！編(ハドソン・ザ・ベスト),-,10806,0,,-,,,,,,,,
2009-11-12,30,-,ACT,スクウェア・エニックス,ファイナルファンタジー・クリスタルクロニクルクリスタルベアラー,-,10681,0,,-,,,,,,,,
2009-11-19,32,-,-,バンダイナムコ,太鼓の達人Wiiドドーンと2代目！,-,10768,0,,-,,,,,,,,
2009-11-19,-,-,-,バンダイナムコ,太鼓の達人Wiiドドーンと2代目！専用コントローラ「太鼓とバチ」同梱版,-,10769,0,,-,,,,,,,,
2009-11-19,-,-,-,ハドソン,コーリング黒き着信,-,10774,0,,-,,,,,,,,
2009-11-19,-,-,-,ハドソン,メタルファイトベイブレードガチンコスタジアム(限定ベイブレード付き),-,10807,0,,-,,,,,,,,
2009-11-19,-,-,-,コナミ,サバイバルキッズWii(コナミ・ザ・ベスト),-,10825,0,,-,,,,,,,,
2009-11-19,-,-,-,コナミ,ファミリーチャレンジWii,-,10835,0,,-,,,,,,,,
2009-11-19,-,-,-,コナミ,ファミリーチャレンジWii(専用マットコントローラ同梱版),-,10836,0,,-,,,,,,,,
2009-11-26,-,-,-,セガ,ぷよぷよ7,-,10665,0,,-,,,,,,,,
2009-11-26,-,-,-,ハドソン,カラオケJOYSOUNDWiiDX,-,10785,0,,-,,,,,,,,
2009-11-26,-,-,-,ハドソン,カラオケJOYSOUNDWiiDX(専用USBマイク同梱版),-,10786,0,,-,,,,,,,,
2009-11-26,33,-,TBL,ハドソン,桃太郎電鉄2010戦国・維新のヒーロー大集合！の巻,-,10811,0,,-,さくまあきら(ゲーム監督)|小坂晃弘/田中俊介|中野寛之|石田雅雄|中村伸武|二宮友和|杉林正俊/玉置嘉嗣|後藤章暢|込山勉(サポート)|小坂晃弘(サポート)|土居孝幸,さくまあきら(ゲーム監督)|小坂晃弘,田中俊介|中野寛之|石田雅雄|中村伸武|二宮友和|杉林正俊,玉置嘉嗣|後藤章暢|込山勉(サポート)|小坂晃弘(サポート)|土居孝幸,関口和之|池毅,,川田忠之|佐藤裕|三井啓介(総合プロデューサー),
2009-11-26,-,-,-,エレクトロニック・アーツ,シムアニマルアフリカ,-,10918,0,,-,,,,,,,,
2009-11-26,-,-,-,タカラトミー,ナルト疾風伝龍刃記,-,10955,0,,-,,,,,,,,
2009-11-26,-,-,-,ユービーアイソフト,ラビッツ・ゴー・ホーム,-,10975,0,,-,,,,,,,,
2009-12-03,40,-,ACT,任天堂,NewスーパーマリオブラザーズWii,-,10602,462,,-,足助重之//天野裕介|有本正直|日野重文,足助重之,,天野裕介|有本正直|日野重文,永田権太|藤井志帆|永松亮,,手塚卓志|木村浩之,
2009-12-03,-,-,-,スクウェア・エニックス,ドラゴンクエストソード仮面の女王と鏡の塔アルティメットヒッツ,-,10673,0,,-,,,,,,,,
2009-12-03,-,-,-,バンダイナムコ,仮面ライダークライマックスヒーローズダブル,-,10755,0,,-,,,,,,,,
2009-12-03,-,-,-,カプコン,バイオハザード0(ベストプライス！),-,10862,0,,-,,,,,,,,
2009-12-03,34,-,ACT,コーエー,戦国無双3,-,10898,28,,-,,,,,,,,
2009-12-03,-,-,-,コーエー,戦国無双3特製クラシックコントローラPROセット,-,10899,0,,-,,,,,,,,
2009-12-03,-,-,-,コーエー,戦国無双3トレジャーBOX,-,10900,0,,-,,,,,,,,
2009-12-03,-,-,-,コーエー,戦国無双3withWii,-,10902,0,,-,,,,,,,,
2009-12-03,-,-,-,スパイク,東京フレンドパーク2決定版みんなで挑戦！体感アトラクション,-,11057,0,,-,,,,,,,,
2009-12-03,-,-,-,IEインスティテュート,アイソメトリック&カラテエクササイズWiiで骨盤Fitness,-,11060,0,,-,,,,,,,,
2009-12-03,-,-,-,イーフロンティア,カールじいさんの空飛ぶ家,-,11109,0,,-,,,,,マイケル・ジアッキーノ,ボブ・ピーターソン|ロニー・デル・カルメン,,
2009-12-03,-,-,-,ドラス,匠レストランは大繁盛！,-,11114,0,,-,,,,,,,,
2009-12-05,34,-,ACT,任天堂,ポケパークWiiピカチュウの大冒険,-,10603,33,,-,,,,,,,,
2009-12-10,-,-,-,スクウェア・エニックス,鋼の錬金術師黄昏の少女,-,10680,0,,-,,,,,,,,
2009-12-10,36,-,RPG,バンダイナムコ,テイルズ・オブ・グレイセス,-,10725,0,,-,大見和永//いのまたむつみ,大見和永,,いのまたむつみ,桜庭統|青山響,田中豪(メインシナリオ)|木賀大介(シナリオワークス)|山本尚基|堀いつみ(シナリオサポート),馬場英雄|岡本進一郎(制作プロデューサー),
2009-12-10,-,-,-,バンダイナムコ,テイルズ・オブ・グレイセススペシャルパック,-,10726,0,,-,,,,,,,,
2009-12-10,-,-,-,バンダイナムコ,ファミリートレーナー2,-,10743,0,,-,,,,,,,,
2009-12-10,-,-,-,バンダイナムコ,ファミリートレーナー1&2(ファミリートレーナー専用マットコントローラ同梱版),-,10744,0,,-,,,,,,,,
2009-12-10,35,-,SPT,コナミ,ウイニングイレブンプレーメーカー2010,-,10829,0,,-,,,,,,,,
2009-12-10,-,-,-,コナミ,ウイニングイレブンプレーメーカー2010(クラシックコントローラPRO同梱版),-,10831,0,,-,,,,,,,,
2009-12-10,-,-,-,タカラトミー,闘真伝,-,10960,0,,-,,,,,,,,
