発売年,ハード,ジャンル,容量(bit),メーカー,タイトル,価格,ジョブカテゴリ,カウント,マッパー,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1988-01-01,MSX,-,2M,徳間書店／テクノポリス,MSXFANファンダムライブラリ2,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1988-01-01,MSX,-,2M,徳間書店／テクノポリス,MSXFANファンダムライブラリ3,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1986-01-01,MSX,-,32K,プロモテック,MSX-logo,"￥9,800","￥10,000代",1,?,,,,,,,,
1990-01-01,MSX,-,不明,アスキー,MSX-SERIAL232,"￥20,000","￥20,000代",1,?,,,,,,,,
1988-01-01,MSX,-,不明,キャンドゥ,MUSICIAN1,"￥12,800","￥13,000代",1,?,,,,,,,,
1987-01-01,MSX,-,1M,東京書籍,NEWHORIZON中学1年,￥,￥0代,1,ASCII_8KB,,,,,,,,
1987-01-01,MSX,-,1M,東京書籍,NEWHORIZON中学2年,￥,￥0代,1,?,,,,,,,,
1987-01-01,MSX,-,1M,東京書籍,NEWHORIZON中学3年,￥,￥0代,1,?,,,,,,,,
1985-01-01,MSX,-,不明,リンクス,NGA,￥,￥0代,1,Mirrored,,,,,,,,
1985-01-01,MSX,-,不明,リンクス,NGAII,￥,￥0代,1,Mirrored,,,,,,,,
1983-01-01,MSX,-,16K,ＭＩＡ,NYOROLS,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,リットーミュージック,PSGミュージックライター,"￥5,300","￥5,500代",1,Mirrored,,鈴木清崇,,天野明(原案)|浅野恭司|常木志伸|天野明(原案)|浅野恭司|天野明(原案)|恩田尚之|天野明(原案)|恩田尚之|浅野恭司|青木康浩|常木志伸|寺岡賢司|石渡マコト|天野明(原案)|恩田尚之|浅野恭司(全章)|阿部恒(Case.1&3)|青木康浩(Case.2)|天野明(原案)|恩田尚之|天野明(原案)|恩田尚之,菅野祐悟,サイコパス製作委員会,,
1986-01-01,MSX,-,不明,ヤマハ,PSエディタ,"￥9,800","￥10,000代",1,?,,鈴木清崇,,天野明(原案)|浅野恭司|常木志伸|天野明(原案)|浅野恭司|天野明(原案)|恩田尚之|天野明(原案)|恩田尚之|浅野恭司|青木康浩|常木志伸|寺岡賢司|石渡マコト|天野明(原案)|恩田尚之|浅野恭司(全章)|阿部恒(Case.1&3)|青木康浩(Case.2)|天野明(原案)|恩田尚之|天野明(原案)|恩田尚之,菅野祐悟,サイコパス製作委員会,,
1986-01-01,MSX,-,32K,コナミ,Qバート,"￥4,800","￥5,000代",1,Mirrored,,,ワーレン・デイビス,ワーレン・デイビス|ジェフリー・P・リー|テリー・ドゥーアーザフ,デヴィッド・ティール,,,
1985-01-01,MSX,-,不明,ヤマハ,RGBユニット,"￥9,800","￥10,000代",1,?,,,,,,,,
1988-01-01,MSX,-,3M,アイレム,R-TYPE,"￥7,300","￥7,500代",1,"[R-TYPE] rom",,,SUM|MISACHIN,ABIKO|AKIO|YOSHIGE,石崎正人,,,
1985-01-01,MSX,-,不明,ヤマハ,RXエディタ,"￥12,800","￥13,000代",1,?,,,,,,,,
1987-01-01,MSX,-,32K,ジャスト,SFアダルトアドベンチャーエリカ,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1980-01-01,MSX,-,16K,コーラル,SimpleASMVol.1,￥,￥0代,1,Mirrored,,,,,,,,
1985-01-01,MSX,-,不明,コーラル,SimpleASMVol.2,"￥12,800","￥13,000代",1,?,,,,,,,,
1988-01-01,MSX2,-,1M,コナミ,THEプロ野球激突ペナントレース,"￥5,800","￥6,000代",1,Konami58KB(SCC),,,,,,,,
1986-01-01,MSX,-,32K,アスキー,TZRグランプリライダー,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,不明,キャノン販売,V-WORD,"￥34,800","￥35,000代",1,?,,,,,,,,
1992-01-01,MSXTurboR,-,不明,BIT2,μ.PACK,"￥19,800","￥20,000代",1,?,,,,,,,,
1989-01-01,MSX2,-,1M,ポニーキャニオン,アークテック,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1985-01-01,MSX,-,16K,カシオ,アイスワールド,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1980-01-01,不明,-,不明,カシオ,アイスワールド2,￥,￥0代,1,?,,,,,,,,
1986-01-01,MSX2,-,1M,ポニーキャニオン,アイドロン,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1988-01-01,MSX2,-,2M,ポニーキャニオン,アウトラン,"￥6,800","￥7,000代",1,ASCII_8KB,,,三船敏(アーケード)|香川忠司(アーケード)|大江玲(アーケード)|中裕司(セガ・マークⅢ),鈴木裕(アーケード)|石井洋児(アーケード)|松浦稔(アーケード)|貞森康毅(セガ・マークⅢ),川口博史(アーケード)|上保徳彦(セガ・マークⅢ),,,
1983-01-01,MSX,-,16K,ゼネラル,アクアポリスSOS,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,東芝/東芝ＥＭＩ,アクゥアタック,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,16K,マスティール,アクトマン,"￥4,800","￥5,000代",1,Mirrored,,,,,クリストフ・ベック,スタン・リー|ラリー・リーバー|ジャック・カービー|『アントマン』,,
1988-01-01,MSX2,-,1M,BIT2,アクロジェット,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1987-01-01,MSX2,-,2M,"T＆E SOFT",アシュギーネ虚空の牙城,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,MSX2,-,2M,マイクロキャビン,アシュギーネ復讐の炎,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,MSX,-,16K,アスキー,アスレチックボール,"￥4,800","￥5,000代",1,Mirrored,,,,とみさわ昭仁,,,,
1986-01-01,MSX,-,32K,パックスソフトニカ,アタックフォー女子バレー,"￥5,500","￥5,500代",1,Mirrored,,,,,,,,
1983-01-01,MSX,-,16K,ＭＩＡ,アドベン・チュー太,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX,-,32K,ＧＡ夢／HOT-B,アナザ(ア・ナ・ザ),"￥5,500","￥5,500代",1,Mirrored,,,,,,,,
1987-01-01,MSX,-,1M,エニックス,アニマルランド殺人事件,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,MSX,-,不明,ＨＡＬ研究所,アニメエディタEDDY,"￥14,800","￥15,000代",1,?,,,,,,,,
1987-01-01,MSX2,-,64K,タイトー／ニデコ,アメリカンサッカー,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1985-01-01,MSX,-,32K,日本テレネット,アメリカントラック,￥,￥0代,1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,ザインソフト,アラモ,"￥5,800","￥6,000代",1,Standard(startat0x4000),,,,,,,,
1984-01-01,MSX,-,16K,ソニー,アリババと40人の盗賊,"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,16K,ポニーキャニオン,アルカザール,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,タイトー／ニデコ,アルカノイド,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX2,-,1M,タイトー／ニデコ,アルカノイドII,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1988-01-01,MSX2,-,2M,KGD,アルギースの翼,￥,￥0代,1,ASCII_8KB,,,,樋上いたる|門之園恵美|池田和美,折戸伸治|戸越まごめ|麻枝准,志茂文彦,馬場隆博,
1986-01-01,MSX,-,32K,日本テレネット,アルバトロス,"￥6,800","￥7,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,ソニー,アルファスクアドロン,"￥4,000","￥4,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,ポニーキャニオン,アルファロイド,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX2,-,2M,コンパイル,アレスタ,"￥6,800","￥7,000代",1,ASCII_16KB,,,,,,,,
1980-01-01,不明,-,不明,コンパイル,アレスタ2,￥,￥0代,1,?,,,,,,,,
1984-01-01,MSX,-,16K,マスティール,アンジェロ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,MSX,-,16K,ボースティック,アンティ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,16K,コナミ,イーアルカンフー,"￥4,800","￥5,000代",1,Mirrored,,,,,東野美紀,,,
1985-01-01,MSX,-,16K,カシオ,イーアルカンフー,"￥4,800","￥5,000代",1,?,,,,,東野美紀,,,
1985-01-01,MSX,-,32K,コナミ,イーガー皇帝の逆襲,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,32K,カシオ,イーガー皇帝の逆襲,"￥4,800","￥5,000代",1,?,,,,,,,,
1985-01-01,MSX,-,32K,カシオ,イーグルファイター,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX,-,16K,タケル／ブラザー工業,イエローサブマリン,"￥2,500","￥2,500代",1,Mirrored,,,,,,,ジョージ・マーティン,
1988-01-01,MSX2,-,2M,ナムコ,イシターの復活,"￥6,800","￥7,000代",1,ASCII_16KB,,,内藤智,遠藤雅伸|篠崎雄一郎,小沢純子,遠藤雅伸,,
1986-01-01,MSX2,-,不明,日立製作所,イラストワープロ,"￥29,800","￥30,000代",1,?,,,,,,,,
1983-01-01,MSX,-,16K,アスキー,イリーガスエピソードIV,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1983-01-01,MSX,-,16K,ハドソン,インディアンの冒険,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,東宝,インファント島の秘密モンスターズフェア,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,MSX,-,1M,ハート電子産業,ヴァクソル,"￥6,800","￥7,000代",1,ASCII_16KB,,,,,,,,
1987-01-01,MSX,-,32K,ビクター音産,ヴィーナスファイヤー,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX2,-,4M,アスキー,ウィザードリィI,"￥12,800","￥13,000代",1,ASCII_8KB+SRAM,,,,,,,,
1987-01-01,MSX,-,1M,エニックス,ウイングマン2ダークキラーの復活,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1983-01-01,MSX,-,16K,アスキー,ウォーリア,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1985-01-01,MSX,-,32K,イエローホーン,ウォーロイド(WARROID),"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,32K,カシオ,ヴォルガード,"￥5,800","￥6,000代",1,?,,,,,,,,
1985-01-01,MSX,-,32K,デービーソフト,ヴォルガード,￥,￥0代,1,Mirrored,,,,,,,,
1987-01-01,MSX2,-,1M,コナミ,ウシャス,"￥5,800","￥6,000代",1,Konami48KB(noSCC),,,,,,,,
1987-01-01,MSX2,-,1M,デービーソフト,うっでぃぽこ,"￥6,800","￥7,000代",1,ASCII_16KB,,,小林貴樹|松井文也,高殿収,斉藤康仁,,吉田めぐみ,
1987-01-01,MSX2,-,4M,マイクロキャビン,うる星やつら恋のサバイバルパーティ,￥,￥0代,1,ASCII_8KB,,,,,,,,
1987-01-01,MSX2,-,2M,ポニーキャニオン,ウルティマ恐怖のエクソダス,"￥6,800","￥7,000代",1,ASCII_8KB+SRAM,,,,,,,,
1984-01-01,MSX,-,16K,バンダイ,ウルトラマン,"￥4,800","￥5,000代",1,Mirrored,,,,,,"金城哲夫 ほか",,
1987-01-01,MSX,-,1M,スクウェア,エイリアン2,"￥5,900","￥6,000代",1,ASCII_16KB,,,,,ジェームズ・ホーナー,キャラクター創造|ダン・オバノン|ロナルド・シャセット,,
1986-01-01,MSX,-,32K,日本デクスタ,エイリアン8,"￥5,700","￥5,500代",1,Mirrored,,,,,ジェリー・ゴールドスミス,ダン・オバノン,,
1983-01-01,MSX,-,16K,アスキー,エクスチェンジャー,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1984-01-01,MSX,-,16K,ジャレコ,エクセリオン(EXERION),"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,16K,カシオ,エクゾイドZ,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,32K,カシオ,エクゾイドZエリア5,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,MSX,-,32K,ＨＡＬ研究所,エッガーランドミステリー,"￥5,600","￥5,500代",1,Mirrored,,,,,,,,
1986-01-01,MSX,-,1M,ＨＡＬ研究所,エッガーランドミステリー2迷宮神話,￥,￥0代,1,ASCII_16KB,,,,,,,,
1988-01-01,MSX2,-,1M,ＮＣＳ,エルスリード,"￥6,800","￥7,000代",1,ASCII_8KB+SRAM,,,,,,,,
1985-01-01,MSX,-,32K,タイトー／ニデコ,エレベーターアクション,"￥4,900","￥5,000代",1,Mirrored,,,,,今村善雄,,,
1985-01-01,MSX,-,32K,コンプティーク,オイルズ・ウェル,"￥5,900","￥6,000代",1,Mirrored,,,,,,,,
1988-01-01,MSX2,-,64K,和知電子機器,お絵かきソフト画楽多,￥,￥0代,1,ASCII_16KB,,,,,,,,
1988-01-01,MSX2,-,1M,システムソフト,オーガ(OGRE),"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1985-01-01,MSX,-,16K,ポニーキャニオン,オセロ(Othello),"￥4,900","￥5,000代",1,Mirrored,,,,,中西ゆういちろう,鈴木光司|久保幸湖|谷井美佳|中村真夕,山崎宏太(朝日放送テレビ)|南雄大(朝日放送テレビ)|齋藤浩司(ヒューマックスシネマ)|若山佑介(ヒューマックスシネマ)|山口誠(47style),
1983-01-01,MSX,-,16K,ＭＩＡ,おてんばベッキーの大冒険,"￥4,800","￥5,000代",1,Mirrored,,,,,ナオト・インティライミ(作詞・作曲),,,
