発売日,クロスレビュー(評価),容量(bit),ジャンル,メーカー,タイトル,価格,価格帯,売り上げ本数TOP50,ハード,👥クリエイターズ,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,カセットカラー,ラベル,「対戦」といえば？,「ハイスコア」といえば？,「クリアできなかった」といえば？,
1990-12-14,-,4,ACT,メルダック,暴れん坊天狗,"￥6,500","￥6,500代",0,1,,中潟憲雄,平松邦仁,"大久保高嶺|吉羽孝雄|Shin-ichi Ogawa",中潟憲雄|大久保高嶺,,河副純一郎,-,-,-,-,-,
1990-12-19,-,4,ACT,アスミック,ジャンピンキッドジャックと豆の木ものがたり,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1990-12-19,-,4,ACT,アイレム,パーマン,"￥5,500","￥5,500代",0,1,,,,,若草恵,渡辺歩,,-,-,-,-,-,
1990-12-20,-,4,SPT,アイジーエス,バトルスタジアム選抜プロ野球,"￥6,800","￥7,000代",0,1,,,,,,,,-,-,-,-,-,
1990-12-21,-,4,SLG,トミー,メカ生命体ゾイド黙示録,"￥6,700","￥6,500代",0,1,,,,,,,,-,-,-,-,-,
1990-12-21,-,4,ACT,アテナ,剣の達人ソードマスター,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1990-12-21,-,5,RPG,ポニーキャニオン,バーズテイル知られざる物語,"￥6,800","￥7,000代",0,1,,,,,,,,-,-,-,-,-,
1990-12-21,-,4,SPT,ナムコ,ファミスタ'91,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1990-12-21,-,4,SLG,データイースト,大怪獣デブラス,"￥6,500","￥6,500代",0,1,,そぎよういち,,みしまひろみ|むらたとしゆき|かわぐちしゅうじ,酒井省吾|桃井聖司|岩崎正明,神谷春輝,中本博通,-,-,-,-,-,
1990-12-21,-,4,ACT,パックインビデオ,地獄極楽丸,"￥6,200","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1990-12-22,-,4,SLG,バンダイ,SDガンダムガチャポン戦士3英雄戦記,"￥6,800","￥7,000代",0,1,,,,,,,,-,-,-,-,-,
1990-12-22,-,4,ACT,シグマ商事,ムサシの冒険,"￥6,500","￥6,500代",0,1,,,,吉田晶彦|ほりえとよじ,岩田匡治,ほりえとよじ,,-,-,-,-,-,
1990-12-26,-,4,ACT,HAL研究所,NEWゴーストバスターズ2,"￥5,900","￥6,000代",0,1,,,,,,,亀卦川佳史(制作プロデューサー),-,-,-,-,-,
1990-12-26,-,4,PZL,HAL研究所,アドベンチャーズオブロロⅡ,"￥5,900","￥6,000代",0,1,,,,,金指英樹,,,-,-,-,-,-,
1990-12-29,-,4,TAB,ココナッツジャパン,爆笑！愛の劇場,"￥7,300","￥7,500代",0,1,,,,,,,,-,-,-,-,-,
1991-01-04,-,5,RPG,ナムコ,じゅうべえくえすと,"￥7,800","￥8,000代",0,1,,,,,六土開正,,,-,-,-,-,-,
1991-01-05,-,5,ACT,コナミ,ワイワイワールド2SOS！パセリ城,"￥6,500","￥6,500代",0,1,,,青山和浩|小川光章|山口誠|吉田晃之,汾陽桂太|いしはらかずみち|福田裕貴,坂倉雄一|松原健一|宮脇聡子,,,-,-,-,-,-,
1991-01-25,-,4,ACT,ハドソン,ジャッキーチェン,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1991-01-25,-,4,TAB,ナツメ,ドラドラドラ幸運を呼ぶゲーム,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1991-01-25,-,4,ACT,コナミ,夢ペンギン物語,"￥5,800","￥6,000代",0,1,,,井上秀登|ひがしとしふみ,T.TAKAKI|しんどうまさみつ,鈴木勝彦|藤尾敦,,,-,-,-,-,-,
1991-01-30,-,2,ACT,アルトロン,ペーパーボーイ,"￥5,500","￥5,500代",0,1,,,ジョン・サルウィッツ,デイヴ・ラルストン,ハル・キャノン|アール・ヴィッカーズ,,,-,-,-,-,-,
1991-01-31,-,4,SPT,ヘクト,ゴルフグランドスラム,"￥9,700","￥9,500代",0,1,,,,,,,,-,-,-,-,-,
1991-02-08,-,5,RPG,データイースト,ダークロード,"￥6,800","￥7,000代",0,1,,,,,,,,-,-,-,-,-,
1991-02-08,-,2,SPT,アテナ,チャンピオンシップボーリング,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1991-02-08,-,5,ADV,キングレコード,赤川次郎の幽霊列車,"￥6,800","￥7,000代",0,1,,,,,,長野洋|岡本喜八|松木ひろし|窪田篤人|渡邉祐介|長野洋|尾中洋一,,-,-,-,-,-,
1991-02-15,-,4,ACT,エポック社,パラソルヘンべえおとぎの国は大さわぎ！,"￥6,500","￥6,500代",0,1,,,,,,,,-,-,-,-,-,
1991-02-15,-,4,TAB,アイマックス,ファミコン将棋竜王戦,"￥6,500","￥6,500代",0,1,,,,,,,,-,-,-,-,-,
1991-02-15,-,4,SHT,バップ,マックスウォーリアー～惑星戒厳令～,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1991-02-15,-,4,SPT,A-WAVE,ミニパット,"￥6,700","￥6,500代",0,1,,,,,,,,-,-,-,-,-,
1991-02-22,-,5,TAB,カプコン,井出洋介名人の実践麻雀Ⅱ,"￥8,500","￥8,500代",0,1,,,,,富樫則彦,,,-,-,-,-,-,
1991-02-22,-,4,ACT,テクノスジャパン,双截龍ⅢTheRosettaStone,"￥6,200","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1991-02-22,-,5,RPG,ビクター音楽産業,虹のシルクロード～ジグザグ冒険記～,"￥7,500","￥7,500代",0,1,,,,,,,,-,-,-,-,-,
1991-02-26,-,5,ACT,バリエ,グランドマスター,"￥6,500","￥6,500代",0,1,,,,,,,,-,-,-,-,-,
1991-02-28,-,5,SPT,サンソフト,なんてったってベースボール子ガメカセットOBオールスター編,"￥2,280","￥2,500代",0,1,,,,,,,,-,-,-,-,-,
1991-03-01,-,4,RPG,カルチャーブレーン,スーパーチャイニーズ3,"￥6,300","￥6,500代",0,1,,阿迦手観屋夢之助,たちばなあきら,しいなつかさ|かわはらひとみ|ましばけいこ,沢彰記,さとうけんたろう,阿迦手観屋夢之助,-,-,-,-,-,
1991-03-01,-,4,SPT,タイトー,究極ハリキリスタジアムⅢ,"￥6,900","￥7,000代",0,1,,,,,,,,-,-,-,-,-,
1991-03-08,-,4,RPG,ポニーキャニオン,AdvancedDungeon＆Dragonsヒーローオブランス,"￥6,800","￥7,000代",0,1,,,,,,,,-,-,-,-,-,
1991-03-08,-,4,TAB,ナムコ,ナムコット麻雀Ⅲマージャン天国,"￥4,900","￥5,000代",0,1,,,,,,,,-,-,-,-,-,
1991-03-15,-,4,SHT,コナミ,ガンサイト,"￥6,000","￥6,000代",0,1,,,,すめらぎ琥珀,あり,かずきふみ,,-,-,-,-,-,
1991-03-15,-,4,SLG,東宝,ふしぎの海のナディア,"￥6,500","￥6,500代",0,1,,,,貞本義行,鷺巣詩郎,大川久男|梅野かおる,,-,-,-,-,-,
1991-03-15,-,6,SLG,光栄,大航海時代,"￥11,800","￥12,000代",0,1,,,,,,,,-,-,-,-,-,
1991-03-21,-,5,RPG,ポニーキャニオン,AdvancedDungeon＆Dragonsヒルズファー,"￥7,800","￥8,000代",0,1,,,,,,,,-,-,-,-,-,
1991-03-21,-,4,ETC,アスキー,いただきストリート私のお店によってって,"￥6,800","￥7,000代",0,1,,,大森田不可止,堀井雄二|荒井清和,上野利幸,,,-,-,-,-,-,
1991-03-21,-,4,RPG,ポニーキャニオン,シャドウブレイン,"￥9,800","￥10,000代",0,1,,,,長沢英夫|今井修司|野田弘一|スクリーミング・マッド・ジョージ,中村一気|大野木宜幸|高見沢俊彦,千葉智宏|黒田洋介,小尾一介,-,-,-,-,-,
1991-03-21,-,4,ACT,バンダイ,まじかる☆タルるートくんFANTASTICWORLD(ファンタスティックワールド),"￥5,800","￥6,000代",0,1,,,,,"LOVE PSYCHEDELICO",,,🟦青,-,-,-,-,
1991-03-22,-,4,TAB,タイトー,爆笑！！人生劇場2,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1991-03-26,-,4,ETC,バンダイ,おえかキッズアンパンマンのひらがなだいすき,"￥6,800","￥7,000代",0,1,,,,,,,,-,-,-,-,-,
1991-03-29,-,2,ACT,キャラクターソフト,けろけろけろっぴの大冒険,"￥3,980","￥4,000代",0,1,,,,,ナオト・インティライミ(作詞・作曲),,,-,-,-,-,-,
1991-03-29,-,4,ACT,ジャレコ,忍者じゃじゃ丸銀河大作戦,"￥5,800","￥6,000代",0,1,,,,,高芝泰彦|鈴木康行,,,-,-,-,-,-,
1991-03-29,-,5,RPG,東映動画,北斗の拳4七星覇拳伝北斗神拳の彼方へ,"￥6,500","￥6,500代",0,1,,,,,,,,-,-,-,-,-,
1991-04-02,-,4,ACT,データイースト,ロボコップ2,"￥6,500","￥6,500代",0,1,,,,,レナード・ローゼンマン,キャラクター創造|エドワード・ニューマイヤー|マイケル・マイナー,,-,-,-,-,-,
1991-04-05,-,4,ACT,アトラス,ニューヨークニャンキーズ,"￥6,200","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1991-04-05,-,4,ETC,テクモ,おぼっちゃまくん,"￥6,500","￥6,500代",0,1,,,,藤田宗克,宮原恵太,桶谷顕|桜井正明|真保裕一ほか,,-,-,-,-,-,
1991-04-05,-,6,RPG,カプコン,天地を喰らうⅡ諸葛孔明伝,"￥8,500","￥8,500代",0,1,,,上山真一,藤原得郎|岡本吉起|竹中善則,藤田靖明,,,-,-,-,-,-,
1991-04-12,-,2,PZL,徳間書店,ゴルビーのパイプライン大作戦,"￥4,900","￥5,000代",0,1,,,,若林賢人,迫田敏明,,,-,-,-,-,-,
1991-04-12,-,4,SHT,ビスコ,ツインイーグル,"￥5,800","￥6,000代",0,1,,,,K.SATO|玖村麻子|かさじまみゆき|たけだみつひろ,"四元久|鈴木隆之|Conrad T. Kozawa",,富士本淳,-,-,-,-,-,
1991-04-21,-,4,ACT,アテナ,ファミリーブロック,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1991-04-25,-,6,TAB,ヘクト,麻雀倶楽部永田町-総裁戦-,"￥9,700","￥9,500代",0,1,,つるやじゅん,さとうしょうじ,おだちひろよ|さかいゆきお,,,関雅行,-,-,-,-,-,
1991-04-26,-,4,ACT,サミー工業,ガンデック(GUN-DEC),"￥6,000","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1991-04-26,-,4,SHT,ホットビィ,オーバーホライゾン,"￥6,800","￥7,000代",0,1,,,,,,,,-,-,-,-,-,
1991-04-26,-,4,SPT,タイトー,タイトーバスケットボール,"￥5,900","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1991-04-26,-,4,TAB,セタ,マジックダーツ,"￥7,700","￥7,500代",0,1,,,,,,,,-,-,-,-,-,
1991-04-26,-,6,RPG,コナミ,ラグランジュポイント,"￥8,500","￥8,500代",0,1,,,,,,,,-,-,-,-,-,
1991-04-26,-,4,ACT,ハドソン,高橋名人の冒険島Ⅱ,"￥5,800","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1991-04-26,-,4,PZL,東映動画,紫禁城,"￥5,300","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1991-05-03,-,5,ACT,タケル,ココロン,"￥6,500","￥6,500代",0,1,,,,,,,,-,-,-,-,-,
1991-05-17,-,2,PZL,ホットビィ,パラメデスⅡ,"￥5,500","￥5,500代",0,1,,,,,,,,-,-,-,-,-,
1991-05-17,-,4,SHT,シグマ商事,ファジカルファイター,"￥6,200","￥6,000代",0,1,,,,,,,,-,-,-,-,-,
1991-05-23,-,5,SLG,光栄,ランペルール,"￥11,800","￥12,000代",0,1,,,,,石黒彰,,シブサワ・コウ,-,-,-,-,-,
1991-05-24,-,5,SHT,タイトー,テトラスター,"￥7,400","￥7,500代",0,1,,,,,,,,-,-,-,-,-,
