発売日,クロスレビュー(評価),価格帯,ジャンル,メーカー,タイトル,シリーズ,ID,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1997-11-27,-,-,-,ヴァージンインタラクティブ,ウォークラフト2ダークサーガ,-,1233,0,,,,,,,,
1997-11-27,-,-,-,ガイナックス,貞本義行イラストレーションズ,-,1781,0,,,,,,,,
1997-11-27,32,-,FTG,カプコン,エックスメンVSストリートファイター,-,1004,0,,,,,,,宮崎鉄平|金佐智絵|鈴木浩史|工藤江美子|桐谷太一|三浦淳(CP),
1997-11-27,-,-,-,コナミ,ヴァンダルハーツ失われた古代文明,-,54,0,,,,,,,,
1997-11-27,-,-,-,シムス,メッセージ・ナビVol.1,-,1782,0,,,,,,,,
1997-11-27,-,-,-,バンプレスト,グランドレッド,-,1234,0,,,,,,,,
1997-11-27,-,-,-,ヒューマン,ブルーブレイカー剣よりも微笑みを,-,55,0,,,,,,,,
1997-11-27,-,-,-,ビング,バブルシンフォニー,-,1005,0,,,,,,,,
1997-11-27,-,-,-,リバーヒルソフト,リフレインラブあなたに逢いたい,-,1235,0,,,,,,,池本浩司,
1997-11-27,-,-,-,セガ,セガエイジスメモリアルセレクションVOL.,-,1783,0,,,,,,,,
1997-11-27,30,-,RAC,セガ,セガ・ツーリングカー・チャンピオンシップ,-,1067,0,,,,,,,,
1997-12-04,-,-,-,サダソフト,プラドルDISCVol.9永松恵子,-,1784,0,,,,,,,,
1997-12-04,-,-,-,エルフ,この世の果てで恋を唄う少女YU-NO,-,1384,0,,,,[PC-98/SS]:長岡康史|[リメイク版]:凪良|青木哲朗|石原恵|田中雄一|大塚舞,ヨナオケイシ|高見龍|エバン・コール|川村竜,平川哲生|横谷昌宏|大知慶一郎|猪原健太,[PC-98/SS]:剣乃ゆきひろ|[リメイク版]:志倉千代丸|[リメイク版]:浅田誠,
1997-12-04,-,-,-,コナミ,実況パワフルプロ野球S,-,1132,0,,,,,,,,
1997-12-04,-,-,-,サクセス,コットン2,-,1520,0,,,初山勝,甲木稔久|西村仁,平田健一,,吉成隆杜,
1997-12-04,-,-,-,ハドソン,銀河お嬢様伝説ユナ3ライトニング・エンジェル,-,1385,0,,,,,,,,
1997-12-04,-,-,-,マイクロビジョン,馬なり1ハロン劇場,-,1236,0,,,,,,,,
1997-12-04,-,-,-,メディアエンターテイメント,ホップステップあいどる☆,-,1237,0,,,,,,,,
1997-12-04,-,-,-,増田屋コーポレーション,デジグマックナイトアートコレクション,-,1786,0,,,,,,,,
1997-12-04,-,-,-,増田屋コーポレーション,デジグラッセンアートコレクション,-,1787,0,,,,,,,,
1997-12-04,-,-,-,日本物産,バーチャル競艇2,-,1068,0,,,,,,,,
1997-12-04,-,-,-,セガ,ソニックR,-,1069,0,,,,,,,,
1997-12-11,-,-,-,サダソフト,プラドルDISCVol.10真崎麻衣,-,1785,0,,,,,,,,
1997-12-11,-,-,-,アクセラ,マリア君たちが生まれた理由,-,1386,0,,,,,,,,
1997-12-11,-,-,-,アトラス,プリンセスクラウン,-,56,0,,,,,,,,
1997-12-11,-,-,-,イマディオ,マリーのアトリエザールブルグの錬金術士,-,57,0,,,,,山西利治,,井上忠信,
1997-12-11,-,-,-,タカラ,アルカナ・ストライクス,-,1788,0,,,,,,,,
1997-12-11,-,-,-,ハドソン,サターンボンバーマンファイト!!,-,1006,0,,藤原茂樹(監修)|柴田真人|池之内武志,,水野祥司(ビジュアルプロデューサー)|佐藤梢(サブデザイン),鶴由雄(BGM作曲)|竹間淳(バトルBGM「いつもの」|しろボン・くろボン連勝演出BGM),,猪狩寛,
1997-12-11,-,-,-,フォグ,美少女花札紀行みちのく秘湯恋物語スペシャル,-,1007,0,,,,,,,,
1997-12-11,-,-,-,メディアワークス,悠久の小箱オフィシャルコレクション,-,1789,0,,,,,,,,
1997-12-11,-,-,-,セガ,シャイニング・フォース3シナリオ1王都の巨神,-,58,0,,,,,,,,
1997-12-15,-,-,-,ハドソン,銀河お嬢様伝説ユナみかあきたかイラストワークス2,-,1790,0,,,,,,,,
1997-12-18,-,-,-,ADK,ティンクルスタースプライツ,-,1521,0,,,,,,,,
1997-12-18,-,-,-,サダソフト,プラドルDISCVol.11廣瀬真弓,-,1791,0,,,,,,,,
1997-12-18,-,-,-,T&Eソフト,ジュンクラシックC.C＆ロペ倶楽部,-,1133,0,,,,,,,,
1997-12-18,-,-,-,アスキー,サウンドノベルツクール2,-,1387,0,,池田国人|高見大三郎,笹瑞穂|小嶋俊晴,今正史,有坂光弘,寺田憲史(サンプルゲーム),川村篤,
1997-12-18,-,-,-,アテナ,クローズTHEBATTLEACTIONFORSEGASATURN,-,1008,0,,,,,,,,
1997-12-18,-,-,-,エニックス,忍ペンまん丸,-,1009,0,,,,末吉裕一郎,大谷明裕|伊戸のりお,,,
1997-12-18,-,-,-,ゲームアーツ,グランディア,-,59,0,,,,草彅琢仁,,,,
1997-12-18,-,-,-,スパイク,DJウォーズ,-,1238,0,,,,,,,,
1997-12-18,-,-,-,ナグザット,究極タイガー2プラス,-,1522,0,,,,,,,,
1997-12-18,-,-,-,パイ,テクストート・ルドアルカナ戦記,-,1792,0,,,,,,,,
1997-12-18,-,-,-,ビクター,大江戸ルネッサンス,-,1239,0,,,,,,,,
1997-12-18,-,-,-,バンダイ,エムジェイザミステリーホスピタル,-,1388,0,,,,,,,,
1997-12-18,-,-,-,ポニーキャニオン,ザップ!スノーボーディングトリックス'98,-,1134,0,,,,,,,,
1997-12-18,-,-,-,レイ・アップ,ユニバーサルナッツ,-,1389,0,,,,,,,,
1997-12-18,-,-,-,コーエー,水滸伝天導一〇八星,-,1240,0,,,,,,,,
1997-12-18,-,-,-,講談社,ウルトラマン図鑑2,-,1793,0,,,,,,,,
1997-12-23,-,-,-,SNK,リアルバウト餓狼伝説スペシャル,-,1010,0,,,,,,,,
1997-12-23,-,-,-,TGL,ティルク青い海から来た少女,-,60,0,,,,,,,,
1997-12-23,-,-,-,アークシステムワークス,ウィザーズハーモニー2,-,1241,0,,,,,,,,
1997-12-23,-,-,-,エクシング,プリズナーオブアイス邪神降臨,-,1390,0,,,,,,,,
1997-12-23,-,-,-,アトラス,デビルサマナーソウルハッカーズ悪魔全書第二集,-,1794,0,,,,,,,,
1997-12-23,-,-,-,ジーク,反射でスパーク!,-,1011,0,,,,,,,,
1998-01-15,-,-,-,BMGジャパン,ジャングルパーク,-,1391,0,,,,,,,,
1998-01-15,-,-,-,TEN研究所,SANKYOFEVERS実機シミュレーションVol.2,-,1820,0,,,,,,,,
1998-01-15,-,-,-,アルトロン,じゃんぐリズム,-,1795,0,,,,,,,,
1998-01-15,-,-,-,キッド,放課後恋愛クラブ恋のエチュード,-,1392,0,,,,,なし,,,
1998-01-15,-,-,-,キングレコード,マリオ武者野の超将棋塾,-,1550,0,,,,,,,,
1998-01-15,-,-,-,ハドソン,金田一少年の事件簿星見島悲しみの復讐鬼,-,1393,0,,,,,,天樹征丸,,
1998-01-15,-,-,-,ユーメディア,ザ・スターボウリングVol.2,-,1131,0,,,,,,,,
1998-01-15,-,-,-,小学館プロダクション,卒業アルバム,-,1796,0,,,,,,,,
1998-01-22,-,-,-,NECインターチャネル,センチメンタルグラフティ,-,1242,0,,,,キャラクターデザイン|甲斐智久(原案)|丞久幸宏,濱田智之(サウンドディレクター)|幡手康隆|野村教裕|徳永声一,大倉らいた,窪田正義|多部田俊雄|高江勇次,
1998-01-22,-,-,-,クインテット,ソロ・クライシス,-,1243,0,,,,,,,,
1998-01-22,-,-,-,ショウエイシステム,ウィザードリィネメシス,-,61,0,,,,,,,,
1998-01-22,34,-,ADV,チュンソフト,サウンドノベル街,-,1394,0,,麻野一哉|山﨑修|平松正樹|近藤英明|毛利昌樹|落合信也,板野英史|大森田不可止|川田勝美|福澤正,,難波弘之|加藤恒太|三俣千代子|林秀幸|森藤晶司|板倉真一,長坂秀佳|山﨑修|岩片烈|平松正樹|横山至,中村光一|小久保利己,
1998-01-29,35,-,RPG,セガ,アゼルパンツァードラグーンRPG,-,62,0,,,,,,,,
1998-01-29,-,-,-,NECインターチャネル,魔法少女プリティサミーハートのきもち,-,1395,0,,,,,,,,
1998-01-29,-,-,-,TGL,ファーランドサーガ,-,1244,0,,,,,,,,
1998-01-29,-,-,-,キッド,ガンブレイズS,-,63,0,,,,,,,,
1998-01-29,-,-,-,キッド,坂本竜馬維新開国,-,1245,0,,,,,,,,
1998-01-29,-,-,-,サンソフト,フォトジェニック,-,1246,0,,,,,,,,
1998-01-29,-,-,-,シムス,本格将棋指南若松将棋塾,-,1548,0,,,,,,,,
1998-01-29,-,-,-,ネバーランドカンパニー,仙窟活龍大戦カオスシード,-,1247,0,,,,,,,,
1998-01-29,-,-,-,バンダイ,セガサターンで発見!!たまごっちパーク,-,1248,0,,,,,,,,
1998-01-29,-,-,-,バンプレスト,速攻生徒会,-,1012,0,,,,,,,,
1998-01-29,-,-,-,マイクロキャビン,NOONヌーン,-,1797,0,,,,,,,伊藤ゴロー,
1998-01-29,-,-,-,メディアクエスト,ウノデラックス,-,1798,0,,,,,,,,
1998-01-29,-,-,-,コーエー,大航海時代外伝,-,1249,0,,,,,,,,
1998-02-05,32,-,SPT,セガ,ウィンターヒート冬季競技11種,-,1135,0,,,,,,,,
1998-02-05,-,-,-,CRI,くのいち捕物帖,-,1396,0,,,,,,,,
1998-02-11,-,-,-,キッド,テナントウォーズ,-,1250,0,,,,,,,,
1998-02-11,-,-,-,バンダイ,SDガンダムジーセンチュリーS,-,1251,0,,,,,,,,
1998-02-19,-,-,-,セガ,プロ野球チームもつくろう!,-,1252,0,,,,,,,,
1998-02-19,-,-,-,セガ,バーチャコップスペシャルパック,-,1523,0,,,,,,,,
1998-02-19,-,-,-,データム・ポリスター,すごべんちゃードラゴンマスターシルク外伝,-,1799,0,,,,,,,,
1998-02-26,-,-,-,セガ,セガエイジスパワードリフト,-,1070,0,,,,,,,,
1998-02-26,32,-,-,セガ,バーニングレンジャー,-,1013,0,,大島直人,,大島直人(キャラクターデザイン),幡谷尚史|熊谷文恵|瀬津丸勝,,中裕司,
1998-02-26,-,-,-,イマディオ,イヴバースト・エラー＆デザイアバリューパック,-,1397,0,,,,,,,,
1998-02-26,-,-,-,エレクトロニック・アーツ,バトルガレッガ,-,1524,0,,,"矢川忍|渡邉康成(68000 side)|落合雄一(Z80 side)",山川真介|辰田光章,並木学(さんたるる),,中島和之,
1998-02-26,-,-,-,コナミ,Jリーグ実況炎のストライカー,-,1136,0,,,,,,,,
1998-02-26,-,-,-,シムス,ステラアサルトSS,-,1525,0,,,,,,,,
1998-02-26,-,-,-,シムス,メッセージ・ナビVol.2,-,1800,0,,,,,,,,
1998-02-26,-,-,-,ジャレコ,スーチーパイアドベンチャードキドキナイトメア,-,1801,0,,,,,,,,
1998-02-26,-,-,-,データイースト,慟哭そして…,-,1398,0,,高橋広志,酒田エス・エー・エス株式会社,山本良博|横田守,SIN,小島早紀子,石井誠一,
1998-02-26,-,-,-,ネクストン,パチンコホール新装大開店,-,1253,0,,,,,,,,
1998-02-26,-,-,-,ハドソン,白き魔女もうひとつの英雄伝説-,-,64,0,,,,,,,,
1998-02-26,-,-,-,メサイヤ,ラングリッサードラマティックエディション,-,65,0,,,,,,,,
1998-02-26,-,-,-,メディアワークス,悠久幻想曲セカンドアルバム,-,1254,0,,,,,,,,
1998-03-05,-,-,-,セガ,セガワールドワイドサッカー'98,-,1137,0,,,,,,,,
1998-03-05,-,-,-,エクシング,アーケードギアーズVol.3ワンダー3,-,1802,0,,,,,,,,
1998-03-05,-,-,-,ゲームバンク,ワイプアウトXL,-,1071,0,,,,,,,,
1998-03-05,-,-,-,パック・イン・ソフト,ナイル河の夜明け,-,1255,0,,,,,,,,
1998-03-05,-,-,-,ハドソン,電波少年的ゲーム,-,1803,0,,,,,,,,
1998-03-05,-,-,-,マイクロネット,バーチャル麻雀,-,1589,0,,,,,,,,
1998-03-12,-,-,-,アクレイムジャパン,タイムコマンドー,-,1014,0,,,,,,,,
1998-03-12,-,-,-,イマディオ,イヴザ・ロストワン,-,1399,0,,,,,,,,
1998-03-12,-,-,-,キッド,Piaキャロットへようこそ!!,-,1400,0,,,,,あり,,,
1998-03-12,-,-,-,ヒューマン,ザ・コンビニ2全国チェーン展開だ!,-,1256,0,,,,,,,,
1998-03-19,-,-,-,インクリメントP,プリンセスクエスト,-,66,0,,,,すぎやまGENSHO,,,,
1998-03-26,-,-,-,セガ,ザ・ハウス・オブ・ザ・デッド,-,1526,0,,,,,,,,
1998-03-26,-,-,-,セガ,プロ野球グレイテストナイン'98,-,1138,0,,,,,,,,
1998-03-26,-,-,-,セガ,新世紀エヴァンゲリオン鋼鉄のガールフレンド,-,1401,0,,,,,,,,
1998-03-26,-,-,-,BMGジャパン,クーリエ・クライシス,-,1015,0,,,,,,,,
1998-03-26,-,-,-,SNK,ザ・キング・オブ・ファイターズ'97,-,1016,0,,,,,,,,
1998-03-26,-,-,-,ゲームバンク,プライマルレイジ,-,1017,0,,,,,,,,
1998-03-26,-,-,-,ゲームバンク,ヘクセン,-,1019,0,,,,,,,,
1998-03-26,32,-,-,コナミ,ときめきメモリアルドラマシリーズVol.2彩のラブソング,-,1402,0,,,,,なし(ゲーム中に自宅のコンポをクリックすると|使用曲の一部は聴ける),,,
1998-03-26,-,-,-,コナミ,吉村将棋,-,1551,0,,,,,,,,
1998-03-26,-,-,-,タカラ,チョロQパーク,-,1072,0,,,,,,,,
1998-03-26,-,-,-,ビクター,ダンジョン・マスターネクサス,-,67,0,,,,,,,,
1998-03-26,-,-,-,メディアクエスト,クロック!パウパウアイランド,-,1018,0,,,,,"Justin Scharvona",,"David Stalker",
1998-03-26,-,-,-,コーエー,提督の決断3withパワーアップキット,-,1257,0,,,,,,,,
1998-03-26,-,-,-,電子メディアサービス,テクノモーター,-,1804,0,,,,,,,,
1998-04-02,-,-,-,セガ,セガエイジスファンタシースターコレクション,-,68,0,,,,,,,,
1998-04-02,-,-,-,セガ,ドラゴンフォース2神去りし大地に,-,69,0,,,,,,,,
1998-04-02,-,-,-,コンパイル,わくわくぷよぷよダンジョン,-,70,0,,,,,,,,
1998-04-02,-,-,-,テクノソフト,組み立てバトルくっつけっと,-,1258,0,,,,,,,,
1998-04-02,-,-,-,パック・イン・ソフト,湾岸トライアルラブ,-,1073,0,,,,,,,,
1998-04-02,-,-,-,ヒューマン,サウンド・キューブ,-,1805,0,,,,,,,,
1998-04-02,-,-,-,コーエー,ウイニングポスト3,-,1259,0,,,,,,,,
1998-04-02,-,-,-,コーエー,信長の野望将星録,-,1260,0,,,,,,,,
1998-04-04,33,-,-,セガ,サクラ大戦2君、死にたもうことなかれ,-,525,0,,,,,あり,,大場規勝,
1998-04-09,-,-,-,ユービーアイソフト,テニス・アリーナ,-,1139,0,,,,,,,,
1998-04-09,-,-,-,エニックス,リヴンザ・シークェル・トゥ・ミスト,-,1404,0,,,,,,,,
1998-04-09,33,-,-,バンダイ,機動戦士ガンダムギレンの野望,-,1261,0,,,,,,,牛村憲彦,
1998-04-09,-,-,-,コーエー,信長の野望戦国群雄伝,-,1262,0,,,,,菅野よう子|山本光男,,シブサワ・コウ,
1998-04-09,-,-,-,小学館プロダクション,卒業3ウエディング・ベル,-,1263,0,,,,,,中園ミホ|浅野妙子|尾崎将也|真柴あずき,,
1998-04-09,-,-,-,翔泳社,あやかし忍伝くの一番プラス,-,1264,0,,,,,,,,
1998-04-16,31,-,FTG,カプコン,ヴァンパイアセイヴァー,-,1020,0,,,,,,,,
1998-04-16,-,-,-,ハドソン,ボンバーマンウォーズ,-,1021,0,,藤原茂樹,,水野祥司(ムービーディレクター)|関島俊文(CGディレクター),ふぁみしん,,馬場弘晃,
1998-04-16,-,-,-,マイクロキャビン,サバキ,-,1022,0,,,,,,,,
1998-04-16,-,-,-,マイクロキャビン,英雄志願,-,71,0,,,,,,,,
1998-04-23,-,-,-,キッド,ゲームで青春,-,1806,0,,,,,,,,
1998-04-23,-,-,-,ゲームアーツ,ガングリフォン2,-,1527,0,,,,,,,,
1998-04-23,-,-,-,タカラ,ツアーパーティー卒業旅行にいこう,-,1807,0,,,,,,,,
1998-04-23,-,-,-,バンプレスト,スーパーロボット大戦F完結編,-,48,0,,,,湖川友謙|河野さち子,,,寺田貴信,
1998-04-23,-,-,-,毎日コミュニケーションズ,ひみつ戦隊メタモルV,-,1405,0,,,,,,,,
1998-04-29,30,-,SRPG,セガ,シャイニング・フォース3シナリオ2狙われた神子,-,73,0,,,,,,,,
1998-04-29,-,-,-,データム・ポリスター,ルームメイト3涼子風の輝く朝に,-,1265,0,,,,,,,,
1998-04-29,-,-,-,メディアクエスト,スーパーテンポ,-,1023,0,,,,,,,,
1998-05-07,-,-,-,イマディオ,イヴザ・ロストワン＆デザイアバリューパック,-,1406,0,,,,,,,,
1998-05-21,-,-,-,イマディオ,メルティランサーリインフォース,-,1266,0,,,,,,,,
1998-05-21,-,-,-,スティング,バロック,-,74,0,,,,,,,,
1998-05-21,-,-,-,セタ,スーパーリアル麻雀P7,-,1590,0,,,,,,,,
1998-05-21,-,-,-,ハドソン,シャドウズ・オブ・ザ・タスク,-,1267,0,,,,,,,,
1998-05-21,-,-,-,ビデオシステム,アイドル麻雀ファイナルロマンス4,-,1591,0,,,,,,,,
1998-05-28,-,-,-,セガ,少女革命ウテナいつか革命される物語,-,1407,0,,,,長谷川眞也,光宗信吉,"ビーパパス[注 1]",,
1998-05-28,-,-,-,KSS,無人島物語Rふたりのラブラブ愛ランド,-,1268,0,,,,,,,,
1998-05-28,-,-,-,ゲームアーツ,グランディアデジタルミュージアム,-,75,0,,,,草彅琢仁,,,,
1998-05-28,-,-,-,ジャレコ,GT24,-,1074,0,,,,,"ミュージックビデオ 「GT400」 - YouTube",,,
1998-05-28,-,-,-,ソシエッタ代官山,王様げーむ,-,1808,0,,,,,,,,
1998-06-04,-,-,-,ダイキ,ファインドラブ2ザ・プロローグ,-,1809,0,,,,,,,,
1998-06-11,-,-,-,セガ,ワールドカップ'98フランス,-,1140,0,,,,,,,,
1998-06-11,-,-,-,アスキーサムシングッド,AI将棋2,-,1552,0,,,,,,,,
1998-06-11,-,-,-,タカラ,エーベルージュスペシャル恋と魔法の学園生活,-,1269,0,,,,,,,,
1998-06-18,-,-,-,アスキー,リンダキューブ完全版,-,76,0,,安藤誠,長谷川浩,桝田省治|CANNABIS,樹原涼子|島村考一,桝田省治|稲本義彦|広瀬絵美,松原文彦|高橋孝造,
1998-06-18,-,-,-,ガイナックス,プリンセスメーカーゆめみる妖精,-,1270,0,,,,赤井孝美,FM音源(PC-98|MSX2|X68000)|PSG音源(MSX2)|MIDI音源(PC/AT|X68000),,,
1998-06-18,-,-,-,ビクター,村越正海の爆釣日本列島,-,1141,0,,,,,,,,
1998-06-18,-,-,-,メサイヤ,ラングリッサー5ジエンドオブレジェンド,-,77,0,,,,,,,,
1998-06-18,-,-,-,講談社,ウルトラマン図鑑3,-,1810,0,,,,,,,,
1998-06-18,-,-,-,増田屋コーポレーション,ケリオトッセ!,-,1024,0,,,,,,,,
1998-06-25,-,-,-,アスキー,ゲームベーシックフォーセガサターン,-,1811,0,,,,,,,,
1998-06-25,-,-,-,カプコン,スーパーアドベンチャーロックマン,-,1408,0,,,,,,,,
1998-06-25,32,-,ACT,コナミ,悪魔城ドラキュラX月下の夜想曲,-,78,0,,,,,,,,
1998-06-25,-,-,-,セガ,日本代表チームの監督になろう!,-,79,0,,,,,,,,
1998-06-25,30,-,ADV,ワークジャム,クロス探偵物語もつれた7つのラビリンス,-,1409,0,,,,,,,,
1998-06-25,-,-,-,講談社,水木しげるの妖怪図鑑総集編,-,1812,0,,,,,,,,
1998-06-25,-,-,-,講談社,頭文字D公道最速伝説,-,1075,0,,,,,,,,
1998-07-02,-,-,-,セガ,セガエイジスギャラクシーフォース2,-,1528,0,,,,,,,,
1998-07-02,-,-,-,アトラス,ソルディバイド,-,1529,0,,,,,,,,
1998-07-02,-,-,-,イマディオ,イヴバースト・エラー＆＆イヴザ・ロストワンバリューパック,-,1410,0,,,,,,,,
1998-07-02,-,-,-,スターライトマリー,アナザー・メモリーズ,-,1271,0,,,,,,,,
1998-07-02,-,-,-,ナグザット,もってけたまごwithがんばれ!かものはし,-,1025,0,,,,,,,宿利剛,
1998-07-02,-,-,-,コーエー,ドルイド闇への追跡者,-,80,0,,,,,,,,
1998-07-09,-,-,-,カプコン,ポケットファイター,-,1026,0,,,"KNIGHT RIDER GIU",江口勝博,伊勢聡,,岡本吉起|船水紀孝|佐渡敬,
1998-07-09,-,-,-,クインテット,コード・アール,-,1076,0,,,,,,,,
1998-07-09,31,-,ADV,データイースト,探偵神宮寺三郎夢の終わりに,-,1411,0,,西山英一,塩野祐一|海老沢俊之|澤井雄一,寺田克也|高橋光,浜田'atomic'誠一|佐藤'tom'共良,稲葉洋敬,西山英一,
1998-07-16,-,-,-,セガ,ディープ・フィアー,-,1027,0,,,,韮沢靖,川井憲次,,小玉理恵子,
1998-07-16,-,-,-,アルトロン,エルフを狩るモノたち2,-,1412,0,,,,後藤圭二,堤秀樹(第1期)|堤秀樹|横山剛(第2期),,,
1998-07-23,-,-,-,キッド,ハイスクールテラストーリー,-,1413,0,,,,,,,,
1998-07-23,-,-,-,クリスタルビジョン,お嬢様を狙え!!,-,1414,0,,,,,,,,
1998-07-23,-,-,-,コナミ,コナミアンティークスMSXコレクションウルトラパック,-,1813,0,,,,,,,,
1998-07-23,-,-,-,コンパイル,魔導物語,-,81,0,,,,,,,,
1998-07-23,-,-,-,トレジャー,レイディアントシルバーガン,-,1530,0,,,,井内ひろし,崎元仁,,,
1998-07-23,-,-,-,角川書店,ルナ2エターナルブルー,-,82,0,,小山洋幸,小山洋幸,安住政敏|前田真宏|拔山敏弘,岩垂徳行|溝口功,重馬敬,,
1998-07-30,-,-,-,アルトロン,わくわくモンスター,-,1814,0,,,,,,,,
1998-07-30,-,-,-,ビスコ,ラブリーポップ2in1雀じゃん恋しましょ,-,1592,0,,,,,,,,
1998-07-30,-,-,-,ビング,バックガイナーよみがえる勇者たち覚醒編「ガイナー転生」,-,1272,0,,,,,,,,
1998-07-30,-,-,-,メサイヤ,ドリーム・ジェネレーション恋か？仕事か!？…,-,1273,0,,,,時友美如(キャラクターデザイン),尾形雅史,山本優|真鍋賢行,真鍋賢行,
1998-07-30,-,-,-,メディアワークス,お嬢様特急,-,1415,0,,,,,,,,
1998-07-30,-,-,-,ワカ製作所,サターンミュージックスクール2,-,1815,0,,,,,,,,
1998-07-30,-,-,-,コーエー,アンジェリークデュエット,-,1274,0,,,,,,,,
1998-08-06,-,-,-,セガ,バッケンローダー,-,83,0,,,,,,,,
1998-08-06,-,-,-,セガ,プロ野球グレイテストナイン'98サマーアクション,-,1142,0,,,,,,,,
1998-08-06,-,-,-,SNK,サムライスピリッツベストコレクション斬紅郎無双剣＆天草降臨,-,1028,0,,,,,,,,
1998-08-06,-,-,-,SNK,リアルバウト餓狼伝説ベストコレクション,-,1029,0,,,,,,,,
1998-08-06,-,-,-,アスミック,ルパン三世ピラミッドの賢者,-,1531,0,,,,,,,,
1998-08-06,-,-,-,カマタアンドパートナーズ,斬魔超奥義ヴァルハリアン,-,84,0,,,,,,,,
1998-08-06,-,-,-,サクセス,ガーディアンフォース,-,1532,0,,,,,,,,
1998-08-06,-,-,-,サンソフト,アストラスーパースターズ,-,1030,0,,,,,,,,
1998-08-20,-,-,-,エクシング,アーケードギアーズイメージファイト＆X-マルチプライ,-,1533,0,,,,,,,,
1998-08-20,-,-,-,毎日コミュニケーションズ,海辺でリーチ!,-,1593,0,,,,,,,,
1998-08-27,32,-,-,NECインターチャネル,ブラックマトリクス,-,1280,0,,,,,,,,
1998-08-27,-,-,-,TGL,魔法使いになる方法,-,85,0,,,,,,,,
1998-08-27,-,-,-,カプコン,カプコンジェネレーション第1集撃墜王の時代,-,1534,0,,,,,,,,
1998-09-03,-,-,-,角川書店,スレイヤーズろいやる2,-,86,0,,,,,,,,
1998-09-17,-,-,-,アスキー,シミュレーションRPGツクール,-,87,0,,,,,,,,
1998-09-17,-,-,-,コナミ,幻想水滸伝,-,88,0,,,,,,,,
1998-09-23,32,-,SRPG,セガ,シャイニング・フォース3シナリオ3氷壁の邪神宮,-,89,0,,,,,,,,
1998-09-23,-,-,-,セガ,機動戦艦ナデシコTheblankof3years,-,1416,0,,,,麻宮騎亜(原案)|後藤圭二|明貴美加(メイン)|企画デザイン工房戦船|高倉武史|沙倉拓実|中原れい|森木靖泰,服部隆之,,,
1998-09-23,-,-,-,GMF,英雄伝説1＆2TheLegendofHeroes,-,90,0,,,,,,,,
1998-09-23,-,-,-,TGL,スチーム・ハーツ,-,1535,0,,,,,,,,
1998-09-23,-,-,-,アルトロン,ソルヴァイス,-,91,0,,,,,,,,
1998-09-23,-,-,-,カプコン,カプコンジェネレーション第2集魔界と騎士,-,1031,0,,,,,,,,
1998-09-23,-,-,-,バンダイ,デジタルモンスターVer.Sデジモンテイマーズ,-,1281,0,,,,,,,,
1998-09-23,-,-,-,メイクソフトウェア,麻雀学園祭DX前日にまつわる奮戦記,-,1594,0,,,,,,,,
1998-10-01,-,-,-,SNK,ザ・キング・オブ・ファイターズベストコレクション,-,1032,0,,,,,,,,
1998-10-01,30,-,-,タカラ,電車でGO!EX,-,1282,0,,,,,,,,
1998-10-01,-,-,-,ビング,バックガイナーよみがえる勇者たち飛翔編「うらぎりの戦場」,-,1283,0,,,,,,,,
1998-10-01,-,-,-,メディアギャロップ,桜通信,-,1417,0,,,,たけうちのぶゆき|下坂英男,萩田光雄,,,
1998-10-01,-,-,-,徳間書店,初恋物語,-,1275,0,,,,,,,,
1998-10-08,-,-,-,NECインターチャネル,Piaキャロットへようこそ!!2,-,1418,0,,,,,あり,,,
1998-10-08,-,-,-,サクセス,コットンブーメラン,-,1537,0,,,初山勝|桑原利行,田村英樹,平田健一,,吉成隆杜,
1998-10-08,-,-,-,バンダイ,機動戦士ガンダムギレンの野望攻略指令書,-,1276,0,,,,,,,,
1998-10-15,-,-,-,セガ,セガエイジスアイラブミッキーマウスふしぎのお城大冒険アイラブドナルドグルジア王の秘宝,-,1033,0,,,,,,,,
1998-10-15,-,-,-,カプコン,カプコンジェネレーション第3集ここに歴史はじまる,-,1536,0,,,,,,,,
1998-10-22,-,-,-,アルトロン,ロックス,-,1816,0,,,,,,,,
1998-10-22,-,-,-,カプコン,マーヴル・スーパーヒーローズVSストリートファイター,-,1034,0,,,MOTSU|廣瀬紀生|川瀬学|葛野誠|山村勇一,冨田篤|中野正弘|松本裕司,岩井由紀|竹原裕子,,片岡謙治,
1998-10-22,-,-,-,ビング,ミズバク大冒険,-,1035,0,,平松信宏|松本俊明,石田一朋|ながはらくさご|つねきよこうじ|黒沢孝,平松信宏|平松信宏|鯨井洋代|岩田吉弘|PEACOCK|V.A.P,海野和子|小倉久佳,,,
1998-10-22,-,-,-,彩京,ストライカーズ19452,-,1538,0,,,,,,,,
1998-10-29,-,-,-,セガ,せがた三四郎真剣遊戯,-,1817,0,,,,,,,,
1998-10-29,-,-,-,アルトロン,本格花札,-,1818,0,,,,,,,,
1998-10-29,-,-,-,キッド,バーチャコールS,-,1277,0,,,,,,,,
1998-10-29,-,-,-,ビクター,ファルコムクラシックス2,-,92,0,,,,,,,,
1998-11-05,-,-,-,ガイナックス,新世紀エヴァンゲリオンエヴァと愉快な仲間たち,-,1595,0,,,,,,,,
1998-11-05,-,-,-,セタ,リアル麻雀アドベンチャー海へSummerWaltz,-,1419,0,,,,,,,,
